video,begin,length,description
EPL2019_DayClip_UhdSdr50fps,0,8,Play
EPL2019_DayClip_UhdSdr50fps,8,8,Play and goal
EPL2019_DayClip_UhdSdr50fps,20,8,Celebration
EPL2019_DayClip_UhdSdr50fps,48,8,Different angle of goal
EPL2019_DayClip_UhdSdr50fps,74,8,Slow motion
EPL2019_NightClip_UhdSdr50fps,0,8,Play
EPL2019_NightClip_UhdSdr50fps,20,8,Play and goal
EPL2019_NightClip_UhdSdr50fps,58,8,wide angle replay
TNF_Football_720p60fps,16,8,Player talking on side of pitch
TNF_Football_720p60fps,32,8,Commentators talking
TNF_Football_720p60fps,114,8,"Player walking around, talking"
TNF_Football_720p60fps,144,8,Camera moves towards center of field where players are preparing 
TNF_Football_720p60fps,304,8,Interception and touchdown
TNF_Football_720p60fps,336,8,Slow motion replay
TNF_NflFox_720At60i,0,8,Players run onto pitch
TNF_NflFox_720At60i,3184,8,Play
TNF_NflFox_720At60i,4198,8,Missed catch
UsOpen2020_TennisSrcRec_1080p50fps_30Min,0,8,Rally
UsOpen2020_TennisSrcRec_1080p50fps_30Min,12,8,Rally
UsOpen2020_TennisSrcRec_1080p50fps_30Min,148,8,Zoom in on ball while being hit
UsOpen2020_TennisSrcRec_1080p50fps_30Min,166,8,Players walking back on court
UsOpen2020_TennisSrcRec_1080p50fps_30Min,176,8,Camera moves from players to top of stadium in a single shot
UsOpen2020_TennisSrcRec_1080p50fps_30Min,604,8,Rally
UsOpen2020_TennisSrcRec_1080p50fps_30Min,648,8,Rally
CNZ_Cricket_1440x1080i_10min_Clip1,86,8,Catch at rope
CNZ_Cricket_1440x1080i_10min_Clip1,198,8,Slow motion catch
CNZ_Cricket_1440x1080i_10min_Clip1,210,8,Catch with seagull 
CNZ_Cricket_1440x1080i_10min_Clip2,90,8,Interception and throw
CNZ_Cricket_1440x1080i_10min_Clip2,120,8,Catch and celebration in slow motion
CNZ_Cricket_1440x1080i_10min_Clip2,210,8,Interception and throw
