,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
0,0,EPLDay_HEVC_HFR_288p_300K_0.y4m,247799275479585618019058483819076443789.y4m,EPLDay,50.0,HEVC,512x288,300K,0
1,1,EPLDay_HEVC_HFR_540p_1900K_0.y4m,330698912276783590094463162885808080477.y4m,EPLDay,50.0,HEVC,960x540,1900K,0
2,2,EPLDay_HEVC_HFR_396p_900K_0.y4m,34042991574486238429383175517183477426.y4m,EPLDay,50.0,HEVC,704x396,900K,0
3,3,EPLDay_HEVC_HFR_396p_600K_0.y4m,125490425725583983348182992488916325638.y4m,EPLDay,50.0,HEVC,704x396,600K,0
4,4,EPLDay_HEVC_HFR_540p_1100K_0.y4m,187298059111511550202499426278689534803.y4m,EPLDay,50.0,HEVC,960x540,1100K,0
5,5,EPLDay_HEVC_SFR_288p_300K_0.y4m,334748175482133469618407515551591356761.y4m,EPLDay,25.0,HEVC,512x288,300K,0
6,6,EPLDay_HEVC_SFR_396p_900K_0.y4m,171337782888492268057044536624888338517.y4m,EPLDay,25.0,HEVC,704x396,900K,0
7,7,EPLDay_HEVC_SFR_396p_600K_0.y4m,281094568428745226250575904028991070755.y4m,EPLDay,25.0,HEVC,704x396,600K,0
8,8,EPLDay_HEVC_SFR_540p_1900K_0.y4m,193715919282290054117381361703089484676.y4m,EPLDay,25.0,HEVC,960x540,1900K,0
9,9,EPLDay_HEVC_SFR_540p_1100K_0.y4m,247782123912345390124696275053651320593.y4m,EPLDay,25.0,HEVC,960x540,1100K,0
10,10,EPLDay_AVC_HFR_288p_300K_0.y4m,330243685429659789904924039141435617840.y4m,EPLDay,50.0,AVC,512x288,300K,0
11,11,EPLDay_AVC_HFR_396p_600K_0.y4m,202621991564024156929890580686566821059.y4m,EPLDay,50.0,AVC,704x396,600K,0
12,12,EPLDay_AVC_HFR_396p_900K_0.y4m,184319621099233508945272130926829570888.y4m,EPLDay,50.0,AVC,704x396,900K,0
13,13,EPLDay_AVC_HFR_540p_1300K_0.y4m,113322231157512440684639196919729238573.y4m,EPLDay,50.0,AVC,960x540,1300K,0
14,14,EPLDay_AVC_SFR_288p_200K_0.y4m,81821650464797119233884171635691454890.y4m,EPLDay,25.0,AVC,512x288,200K,0
15,15,EPLDay_AVC_HFR_540p_1900K_0.y4m,106066611185684705843958823534876857129.y4m,EPLDay,50.0,AVC,960x540,1900K,0
16,16,EPLDay_AVC_SFR_396p_400K_0.y4m,180258876450600071489037058269732414212.y4m,EPLDay,25.0,AVC,704x396,400K,0
