,Unnamed: 0,original_video_name,hash_video_name,content,fps,codec,resolution,bitrate,begin_time
576,576,USOpen_SRC_SRC_SRC_SRC_148.y4m,247529170132131350414658998344021258175.y4m,USOpen,25.0,SRC,1280x720,SRC,148
577,577,USOpen_SRC_SRC_SRC_SRC_166.y4m,136035350812115583747755665840353091649.y4m,USOpen,25.0,SRC,1280x720,SRC,166
578,578,USOpen_SRC_SRC_SRC_SRC_176.y4m,69476502878467254491023945784146838376.y4m,USOpen,25.0,SRC,1280x720,SRC,176
579,579,USOpen_SRC_SRC_SRC_SRC_604.y4m,314877108400228371841203318529876427718.y4m,USOpen,25.0,SRC,1280x720,SRC,604
580,580,USOpen_SRC_SRC_SRC_SRC_648.y4m,50061904933587609697825146968346318102.y4m,USOpen,25.0,SRC,1280x720,SRC,648
581,581,EPLNight_SRC_SRC_SRC_SRC_0.y4m,56239646028452288913774412932656969839.y4m,EPLNight,25.0,SRC,3840x2160,SRC,0
582,582,EPLNight_SRC_SRC_SRC_SRC_20.y4m,26461800895814734020424458427199823706.y4m,EPLNight,25.0,SRC,3840x2160,SRC,20
583,583,EPLNight_SRC_SRC_SRC_SRC_58.y4m,71537947284426720001316520184313026352.y4m,EPLNight,25.0,SRC,3840x2160,SRC,58
584,584,TNFF_SRC_SRC_SRC_SRC_114.y4m,190432991026130450105648596082514625079.y4m,TNFF,29.97,SRC,1280x720,SRC,114
585,585,TNFF_SRC_SRC_SRC_SRC_144.y4m,254496809071863829104372392711977623503.y4m,TNFF,29.97,SRC,1280x720,SRC,144
586,586,TNFF_SRC_SRC_SRC_SRC_16.y4m,148800394999214671528329371133995160257.y4m,TNFF,29.97,SRC,1280x720,SRC,16
587,587,TNFF_SRC_SRC_SRC_SRC_304.y4m,171492309316718970952363348247519957934.y4m,TNFF,29.97,SRC,1280x720,SRC,304
588,588,TNFF_SRC_SRC_SRC_SRC_32.y4m,291136994837994225287945049617098165881.y4m,TNFF,29.97,SRC,1280x720,SRC,32
589,589,TNFF_SRC_SRC_SRC_SRC_336.y4m,130364387205961186520215563221161746397.y4m,TNFF,29.97,SRC,1280x720,SRC,336
590,590,TNFNFL_SRC_SRC_SRC_SRC_0.y4m,7693994079740634145821728873994765090.y4m,TNFNFL,29.97,SRC,1280x720,SRC,0
591,591,TNFNFL_SRC_SRC_SRC_SRC_3184.y4m,282444525081854161880440814325164737688.y4m,TNFNFL,29.97,SRC,1280x720,SRC,3184
592,592,TNFNFL_SRC_SRC_SRC_SRC_4211.y4m,264059656319902618509432306415939739297.y4m,TNFNFL,29.97,SRC,1280x720,SRC,4211
593,593,USOpen_SRC_SRC_SRC_SRC_0.y4m,288438565918500831870849660924693160677.y4m,USOpen,25.0,SRC,1280x720,SRC,0
594,594,USOpen_SRC_SRC_SRC_SRC_12.y4m,261049478420819233908795587595306266626.y4m,USOpen,25.0,SRC,1280x720,SRC,12
739,739,Cricket1_SRC_SRC_SRC_SRC_198.y4m,8356206559968305031763179302639131092.y4m,Cricket1,25.0,SRC,1440x1080,SRC,198
740,740,Cricket1_SRC_SRC_SRC_SRC_210.y4m,74845469875544980661931438000417668678.y4m,Cricket1,25.0,SRC,1440x1080,SRC,210
741,741,Cricket1_SRC_SRC_SRC_SRC_86.y4m,184224595208201765892012938725550851615.y4m,Cricket1,25.0,SRC,1440x1080,SRC,86
742,742,Cricket2_SRC_SRC_SRC_SRC_120.y4m,156698666888511003440788966437867556101.y4m,Cricket2,25.0,SRC,1440x1080,SRC,120
743,743,Cricket2_SRC_SRC_SRC_SRC_210.y4m,289017926951408895876189996679991517329.y4m,Cricket2,25.0,SRC,1440x1080,SRC,210
744,744,Cricket2_SRC_SRC_SRC_SRC_90.y4m,110633055949691751914426971701317604177.y4m,Cricket2,25.0,SRC,1440x1080,SRC,90
745,745,EPLDay_SRC_SRC_SRC_SRC_0.y4m,68360330852844458466032385840218779291.y4m,EPLDay,25.0,SRC,3840x2160,SRC,0
746,746,EPLDay_SRC_SRC_SRC_SRC_20.y4m,172955932547895536507307323045012967547.y4m,EPLDay,25.0,SRC,3840x2160,SRC,20
747,747,EPLDay_SRC_SRC_SRC_SRC_48.y4m,235191081874314538514517825585821101529.y4m,EPLDay,25.0,SRC,3840x2160,SRC,48
748,748,EPLDay_SRC_SRC_SRC_SRC_74.y4m,252869299450143334494521195995196410820.y4m,EPLDay,25.0,SRC,3840x2160,SRC,74
749,749,EPLDay_SRC_SRC_SRC_SRC_8.y4m,65653653729269531469407532802087132975.y4m,EPLDay,25.0,SRC,3840x2160,SRC,8
