,filenames,hash
0,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc1.mp4,C:\Humansutdy\videos\hash_vid\619d789ede217476dc80ebb5a3d0c558.mp4
1,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc2.mp4,C:\Humansutdy\videos\hash_vid\42c69c5ee87c97c357848ded693ddccf.mp4
2,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Blanc3.mp4,C:\Humansutdy\videos\hash_vid\49322174568834c1b2320420d2cfd7e2.mp4
3,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bonfire.mp4,C:\Humansutdy\videos\hash_vid\87fd871707b769a0204b27d5b06a436d.mp4
4,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bravia2.mp4,C:\Humansutdy\videos\hash_vid\57e078e1c1340b0dc66906d800f6fe9e.mp4
5,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Bravia3.mp4,C:\Humansutdy\videos\hash_vid\4b24a5aae09ee91191b3a403980c42fb.mp4
6,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CargoBoat.mp4,C:\Humansutdy\videos\hash_vid\1e5290199f0c390c5f474be7bae061bd.mp4
7,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CenterPanorama.mp4,C:\Humansutdy\videos\hash_vid\cf3eca3ef87d8aa8d1aa5a1c358153c1.mp4
8,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing1.mp4,C:\Humansutdy\videos\hash_vid\f43169d74ed5b97438cd1624ef06de86.mp4
9,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing3.mp4,C:\Humansutdy\videos\hash_vid\7b6788f0540ac7081b3f69fdd7999f9d.mp4
10,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Chasing4.mp4,C:\Humansutdy\videos\hash_vid\4cd0aa542a9977088cd773123a6c23d5.mp4
11,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_CourtYard.mp4,C:\Humansutdy\videos\hash_vid\225284995c0f0a248c02948e957aea1d.mp4
12,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Daylight1.mp4,C:\Humansutdy\videos\hash_vid\385ce3babd50b6d98672d3749c0b2f8e.mp4
13,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Fizzle1.mp4,C:\Humansutdy\videos\hash_vid\b753fad9371efb13657b148ba3e54b23.mp4
14,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Fizzle2.mp4,C:\Humansutdy\videos\hash_vid\ac086991db2954f0ac17d2c8d411f8cf.mp4
15,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Flowers.mp4,C:\Humansutdy\videos\hash_vid\4fe30724d19abf7cb7245e38cdb7e0c0.mp4
16,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Furniture.mp4,C:\Humansutdy\videos\hash_vid\29dc35cc32e5bc0aabc282a67a266bee.mp4
17,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light2.mp4,C:\Humansutdy\videos\hash_vid\4bf4df9fedea79483113b7b3eb38c89e.mp4
18,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light3.mp4,C:\Humansutdy\videos\hash_vid\153bc8fded547356ce98a82b43b2d03e.mp4
19,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Light4.mp4,C:\Humansutdy\videos\hash_vid\88aebca1228f9c4dee6ce61c2e17b174.mp4
20,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NewYork1.mp4,C:\Humansutdy\videos\hash_vid\7ac1a266e858607f2c4fdd853cdad810.mp4
21,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NewYork2.mp4,C:\Humansutdy\videos\hash_vid\34943e7b4fe049b94dce3ebcc645a9f1.mp4
22,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_NighTraffic.mp4,C:\Humansutdy\videos\hash_vid\2ad2160c1db0f87e54047d718e9ec7ad.mp4
23,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_OfficeBuilding.mp4,C:\Humansutdy\videos\hash_vid\21ebe38ae9cc560f0e98208895385c2e.mp4
24,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Porsche.mp4,C:\Humansutdy\videos\hash_vid\2f5cca65f29a24bde75cfe5de9b9b161.mp4
25,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Skyscraper.mp4,C:\Humansutdy\videos\hash_vid\2b607106a76b6cae4b3de1fc3ad31c83.mp4
26,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Swordsmith1.mp4,C:\Humansutdy\videos\hash_vid\856a495d7d9fd58175e130d3f2b9b40f.mp4
27,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Swordsmith2.mp4,C:\Humansutdy\videos\hash_vid\3ad7e6c3751556f2449ee75dad72f54f.mp4
28,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_UrbanLandmark.mp4,C:\Humansutdy\videos\hash_vid\cbf560148e55de1bdb3072106085b6f0.mp4
29,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_Whale.mp4,C:\Humansutdy\videos\hash_vid\e3e3e2aa60f4b1a0f6aea15dde174854.mp4
30,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_firework.mp4,C:\Humansutdy\videos\hash_vid\ef056472723cb06c72b970558daca25e.mp4
31,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football1.mp4,C:\Humansutdy\videos\hash_vid\f9faf66f5ed3d2cc5274c7b11bf36546.mp4
32,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football10.mp4,C:\Humansutdy\videos\hash_vid\7348d4f873929c9c6e024f850fdc626b.mp4
33,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football2.mp4,C:\Humansutdy\videos\hash_vid\2cb9a41f4c067355f6a040209b7dbd00.mp4
34,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football3.mp4,C:\Humansutdy\videos\hash_vid\b8a2d603aba6426a4cd9e83c543c7a9c.mp4
35,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football4.mp4,C:\Humansutdy\videos\hash_vid\dfb87a2088fbe6ad87d78658d34151ce.mp4
36,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football5.mp4,C:\Humansutdy\videos\hash_vid\a2d0fd8da9df3f989bfc1d8a936251aa.mp4
37,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football6.mp4,C:\Humansutdy\videos\hash_vid\6639438c7f79fd99ba993aa807ddecff.mp4
38,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football7.mp4,C:\Humansutdy\videos\hash_vid\9684aca733a040e72af4a655afa80be3.mp4
39,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football8.mp4,C:\Humansutdy\videos\hash_vid\db89e95e2efd422b33369f5f52b03ea8.mp4
40,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_football9.mp4,C:\Humansutdy\videos\hash_vid\56699541e490c1444ea2189392c21d5a.mp4
41,C:\Humansutdy\videos\all_vid\4k_cbr15Mbps_golf1.mp4,C:\Humansutdy\videos\hash_vid\ec399080d75425462e976b32a5de6d03.mp4
