,0,1
0,upscaled_704x396_600kbps_Whale.mp4,29
0,reference_Swordsmith1.mp4,72
0,upscaled_704x396_600kbps_Daylight1.mp4,46
0,upscaled_704x396_600kbps_CourtYard.mp4,28
0,4k_cbr15Mbps_CenterPanorama.mp4,84
0,upscaled_1080p_cbr6Mbps_Chasing3.mp4,60
0,reference_Whale.mp4,89
0,upscaled_1080p_1Mbps_golf2.mp4,30
0,4k_cbr3Mbps_firework.mp4,53
0,upscaled_704x396_600kbps_Light2.mp4,4
0,reference_football7.mp4,97
0,4k_cbr15Mbps_Light4.mp4,88
0,reference_golf1.mp4,90
0,upscaled_720p_2600kbps_firework.mp4,32
0,upscaled_1080p_cbr6Mbps_Daylight1.mp4,82
0,4k_cbr15Mbps_Light2.mp4,80
0,reference_Chasing3.mp4,76
0,upscaled_720p_2600kbps_OfficeBuilding.mp4,20
0,upscaled_720p_2600kbps_Blanc1.mp4,48
0,upscaled_1080p_cbr6Mbps_firework.mp4,95
0,4k_cbr3Mbps_Chasing3.mp4,64
0,upscaled_704x396_600kbps_golf1.mp4,33
0,upscaled_1080p_1Mbps_football7.mp4,38
0,upscaled_1080p_1Mbps_Swordsmith1.mp4,14
0,upscaled_1080p_1Mbps_football6.mp4,50
0,reference_CourtYard.mp4,97
0,4k_cbr3Mbps_CenterPanorama.mp4,74
0,4k_cbr15Mbps_football6.mp4,86
0,4k_cbr3Mbps_Blanc3.mp4,93
0,upscaled_704x396_600kbps_Light3.mp4,18
0,reference_football5.mp4,70
0,upscaled_720p_2600kbps_Blanc3.mp4,42
0,4k_cbr15Mbps_firework.mp4,61
0,upscaled_720p_2600kbps_Daylight1.mp4,37
0,upscaled_1080p_1Mbps_football4.mp4,37
0,upscaled_704x396_600kbps_Blanc3.mp4,38
0,upscaled_704x396_600kbps_firework.mp4,9
0,4k_cbr15Mbps_OfficeBuilding.mp4,94
0,reference_football6.mp4,81
0,reference_CenterPanorama.mp4,81
0,upscaled_1080p_cbr6Mbps_Blanc3.mp4,74
0,upscaled_1080p_1Mbps_Light2.mp4,11
0,reference_football2.mp4,74
0,upscaled_720p_2600kbps_Chasing3.mp4,39
0,upscaled_1080p_cbr6Mbps_Light2.mp4,64
0,4k_cbr3Mbps_Light3.mp4,78
0,upscaled_704x396_600kbps_football2.mp4,8
0,4k_cbr15Mbps_Blanc1.mp4,95
0,upscaled_704x396_600kbps_football6.mp4,35
0,4k_cbr3Mbps_OfficeBuilding.mp4,66
0,upscaled_720p_2600kbps_CourtYard.mp4,28
0,upscaled_720p_2600kbps_Swordsmith1.mp4,34
0,4k_cbr3Mbps_NewYork1.mp4,77
0,upscaled_704x396_600kbps_CenterPanorama.mp4,24
0,4k_cbr3Mbps_CourtYard.mp4,71
0,upscaled_1080p_cbr6Mbps_golf2.mp4,81
0,reference_Bonfire.mp4,81
0,4k_cbr3Mbps_golf1.mp4,83
0,upscaled_704x396_600kbps_football7.mp4,5
0,upscaled_720p_2600kbps_NewYork1.mp4,34
0,upscaled_720p_2600kbps_football6.mp4,15
0,4k_cbr3Mbps_football2.mp4,78
0,upscaled_1080p_1Mbps_CenterPanorama.mp4,52
0,4k_cbr15Mbps_CourtYard.mp4,88
0,4k_cbr15Mbps_Whale.mp4,79
0,4k_cbr15Mbps_Chasing3.mp4,89
0,upscaled_1080p_1Mbps_golf1.mp4,36
0,reference_firework.mp4,39
0,upscaled_1080p_cbr6Mbps_NewYork1.mp4,82
0,reference_Light3.mp4,90
0,4k_cbr3Mbps_Bonfire.mp4,1
0,upscaled_704x396_600kbps_Chasing3.mp4,27
0,upscaled_1080p_cbr6Mbps_Whale.mp4,56
0,upscaled_704x396_600kbps_Bonfire.mp4,4
0,reference_NewYork1.mp4,88
0,upscaled_704x396_600kbps_football5.mp4,33
0,upscaled_1080p_cbr6Mbps_CourtYard.mp4,60
0,upscaled_1080p_cbr6Mbps_football7.mp4,71
0,upscaled_720p_2600kbps_Bonfire.mp4,8
0,4k_cbr3Mbps_Light4.mp4,99
0,upscaled_1080p_cbr6Mbps_Light3.mp4,54
0,4k_cbr3Mbps_football4.mp4,57
0,upscaled_1080p_1Mbps_Bonfire.mp4,1
0,upscaled_1080p_cbr6Mbps_Blanc1.mp4,85
0,upscaled_720p_2600kbps_football5.mp4,55
0,4k_cbr3Mbps_Light2.mp4,57
0,upscaled_704x396_600kbps_Swordsmith1.mp4,38
