,0,1,2
0,EPLDay_HEVC_HFR_288p_300K_0.y4m,400,401
1,EPLDay_HEVC_HFR_540p_1900K_0.y4m,400,401
2,EPLDay_HEVC_HFR_396p_900K_0.y4m,400,401
3,EPLDay_HEVC_HFR_396p_600K_0.y4m,400,401
4,EPLDay_HEVC_HFR_540p_1100K_0.y4m,400,401
5,EPLDay_HEVC_SFR_288p_300K_0.y4m,200,201
6,EPLDay_HEVC_SFR_396p_900K_0.y4m,200,201
7,EPLDay_HEVC_SFR_396p_600K_0.y4m,200,201
8,EPLDay_HEVC_SFR_540p_1900K_0.y4m,200,201
9,EPLDay_HEVC_SFR_540p_1100K_0.y4m,200,201
10,EPLDay_AVC_HFR_288p_300K_0.y4m,400,401
11,EPLDay_AVC_HFR_396p_600K_0.y4m,400,401
12,EPLDay_AVC_HFR_396p_900K_0.y4m,400,401
13,EPLDay_AVC_HFR_540p_1300K_0.y4m,400,401
14,EPLDay_AVC_SFR_288p_200K_0.y4m,200,201
15,EPLDay_AVC_HFR_540p_1900K_0.y4m,400,401
16,EPLDay_AVC_SFR_396p_400K_0.y4m,200,201
17,EPLDay_AVC_HFR_720p_2200K_0.y4m,400,401
18,EPLDay_AVC_SFR_396p_800K_0.y4m,200,201
19,EPLDay_AVC_SFR_540p_1200K_0.y4m,200,201
20,EPLDay_AVC_SFR_540p_1800K_0.y4m,200,201
21,EPLDay_AVC_SFR_720p_2000K_0.y4m,200,201
22,EPLDay_HEVC_HFR_720p_2200K_0.y4m,400,401
23,EPLDay_HEVC_SFR_720p_2200K_0.y4m,200,201
24,EPLDay_HEVC_HFR_288p_300K_8.y4m,400,401
25,EPLDay_HEVC_HFR_540p_1900K_8.y4m,400,401
26,EPLDay_HEVC_HFR_396p_900K_8.y4m,400,401
27,EPLDay_HEVC_HFR_396p_600K_8.y4m,400,401
28,EPLDay_HEVC_HFR_540p_1100K_8.y4m,400,401
29,EPLDay_HEVC_SFR_288p_300K_8.y4m,200,201
30,EPLDay_HEVC_SFR_396p_900K_8.y4m,200,201
31,EPLDay_HEVC_SFR_396p_600K_8.y4m,200,201
32,EPLDay_HEVC_SFR_540p_1900K_8.y4m,200,201
