,video,mos,content,codec,fr,res,bitrate,dmos
0,USOpen_AVC_HFR_396p_600K_12,47.34526578660594,USOpen_12,AVC,HFR,396p,600,-21.749584732913995
1,Cricket1_AVC_HFR_288p_300K_198,35.65598288177762,Cricket1_198,AVC,HFR,288p,300,-21.285962344674914
3,Cricket1_HEVC_HFR_396p_900K_198,42.98071504972857,Cricket1_198,HEVC,HFR,396p,900,-13.961230176723959
4,TNFNFL_AVC_SFR_396p_800K_3184,43.35431886402826,TNFNFL_3184,AVC,SFR,396p,800,-20.445650972129478
5,Cricket1_HEVC_SFR_720p_2200K_198,58.37446768278655,Cricket1_198,HEVC,SFR,720p,2200,1.43252245633402
6,EPLDay_HEVC_SFR_396p_600K_20,41.417676874861215,EPLDay_20,HEVC,SFR,396p,600,-32.36769252562789
7,Cricket1_HEVC_HFR_540p_1100K_198,48.74976506785978,Cricket1_198,HEVC,HFR,540p,1100,-8.192180158592755
8,TNFNFL_AVC_SFR_720p_2000K_3184,57.52061001079088,TNFNFL_3184,AVC,SFR,720p,2000,-6.279359825366853
10,EPLDay_HEVC_SFR_396p_900K_20,46.258037204035546,EPLDay_20,HEVC,SFR,396p,900,-27.527332196453557
11,Cricket1_HEVC_HFR_288p_300K_198,36.87098451666328,Cricket1_198,HEVC,HFR,288p,300,-20.070960709789254
12,EPLDay_AVC_SFR_288p_200K_20,22.65629784100094,EPLDay_20,AVC,SFR,288p,200,-51.12907155948817
13,USOpen_HEVC_SFR_288p_300K_12,39.41191970539964,USOpen_12,HEVC,SFR,288p,300,-29.682930814120297
14,TNFF_HEVC_SFR_720p_2200K_32,72.3118737612069,TNFF_32,HEVC,SFR,720p,2200,-4.242525176547076
16,TNFF_AVC_SFR_396p_800K_32,48.59251020535533,TNFF_32,AVC,SFR,396p,800,-27.96188873239864
17,USOpen_AVC_HFR_720p_2200K_12,59.307732028680086,USOpen_12,AVC,HFR,720p,2200,-9.787118490839852
18,TNFF_AVC_HFR_540p_1900K_32,58.941048893556044,TNFF_32,AVC,HFR,540p,1900,-17.61335004419793
19,TNFNFL_AVC_SFR_540p_1800K_3184,56.017085754564285,TNFNFL_3184,AVC,SFR,540p,1800,-7.782884081593451
20,TNFF_HEVC_HFR_540p_1100K_32,59.65103635853493,TNFF_32,HEVC,HFR,540p,1100,-16.903362579219042
21,EPLDay_AVC_HFR_288p_300K_20,24.569255299006716,EPLDay_20,AVC,HFR,288p,300,-49.21611410148239
22,Cricket1_AVC_SFR_288p_200K_198,27.459191480463527,Cricket1_198,AVC,SFR,288p,200,-29.482753745989005
23,TNFF_AVC_SFR_288p_200K_32,27.598016128981392,TNFF_32,AVC,SFR,288p,200,-48.95638280877258
24,Cricket1_AVC_SFR_540p_1200K_198,51.53100772389162,Cricket1_198,AVC,SFR,540p,1200,-5.4109375025609125
25,TNFF_AVC_HFR_720p_2200K_32,65.10193321859555,TNFF_32,AVC,HFR,720p,2200,-11.452465719158425
26,Cricket1_HEVC_SFR_396p_900K_198,47.52691443624233,Cricket1_198,HEVC,SFR,396p,900,-9.415030790210203
27,TNFNFL_AVC_HFR_396p_600K_3184,38.333161245243495,TNFNFL_3184,AVC,HFR,396p,600,-25.46680859091424
28,Cricket1_HEVC_SFR_288p_300K_198,41.207281025437155,Cricket1_198,HEVC,SFR,288p,300,-15.734664201015377
29,TNFF_HEVC_HFR_288p_300K_32,40.98776220369314,TNFF_32,HEVC,HFR,288p,300,-35.566636734060836
30,TNFNFL_HEVC_SFR_540p_1100K_3184,53.10045209326691,TNFNFL_3184,HEVC,SFR,540p,1100,-10.699517742890826
31,EPLDay_AVC_HFR_540p_1900K_20,52.9697814010593,EPLDay_20,AVC,HFR,540p,1900,-20.815587999429802
32,USOpen_AVC_SFR_396p_800K_12,52.88559716748072,USOpen_12,AVC,SFR,396p,800,-16.20925335203922
33,TNFNFL_HEVC_SFR_288p_300K_3184,34.09881011728312,TNFNFL_3184,HEVC,SFR,288p,300,-29.701159718874614
34,USOpen_AVC_SFR_288p_200K_12,38.09940474050704,USOpen_12,AVC,SFR,288p,200,-30.995445779012897
35,TNFF_AVC_HFR_396p_900K_32,48.31310054622183,TNFF_32,AVC,HFR,396p,900,-28.24129839153214
36,USOpen_HEVC_HFR_540p_1900K_12,58.39543018184179,USOpen_12,HEVC,HFR,540p,1900,-10.699420337678148
37,TNFNFL_HEVC_HFR_396p_600K_3184,45.02302466802212,TNFNFL_3184,HEVC,HFR,396p,600,-18.77694516813562
38,TNFF_AVC_SFR_720p_2000K_32,64.22430544695405,TNFF_32,AVC,SFR,720p,2000,-12.330093490799925
39,EPLDay_AVC_HFR_396p_900K_20,46.96943451131335,EPLDay_20,AVC,HFR,396p,900,-26.81593488917575
40,TNFF_HEVC_HFR_540p_1900K_32,65.96098405342265,TNFF_32,HEVC,HFR,540p,1900,-10.593414884331324
41,EPLDay_HEVC_HFR_540p_1900K_20,51.2982655953378,EPLDay_20,HEVC,HFR,540p,1900,-22.4871038051513
42,Cricket1_HEVC_SFR_396p_600K_198,47.994667923428715,Cricket1_198,HEVC,SFR,396p,600,-8.947277303023817
43,USOpen_AVC_HFR_288p_300K_12,40.74826818199518,USOpen_12,AVC,HFR,288p,300,-28.346582337524758
44,TNFF_AVC_SFR_540p_1200K_32,55.80956837348814,TNFF_32,AVC,SFR,540p,1200,-20.744830564265833
45,USOpen_HEVC_HFR_396p_900K_12,51.82791992653271,USOpen_12,HEVC,HFR,396p,900,-17.26693059298723
46,TNFNFL_AVC_SFR_540p_1200K_3184,51.19157751291674,TNFNFL_3184,AVC,SFR,540p,1200,-12.608392323240999
47,USOpen_HEVC_HFR_396p_600K_12,49.14830068124495,USOpen_12,HEVC,HFR,396p,600,-19.94654983827499
48,TNFF_HEVC_HFR_720p_2200K_32,63.847599338793955,TNFF_32,HEVC,HFR,720p,2200,-12.706799598960018
49,USOpen_HEVC_SFR_396p_900K_12,49.15490303322456,USOpen_12,HEVC,SFR,396p,900,-19.93994748629538
50,EPLDay_HEVC_SFR_720p_2200K_20,55.94139376531219,EPLDay_20,HEVC,SFR,720p,2200,-17.84397563517691
51,TNFF_AVC_SFR_540p_1800K_32,61.204119052661305,TNFF_32,AVC,SFR,540p,1800,-15.350279885092668
52,EPLDay_AVC_HFR_540p_1300K_20,51.779911984035195,EPLDay_20,AVC,HFR,540p,1300,-22.005457416453908
53,TNFF_AVC_HFR_396p_600K_32,43.489352269544774,TNFF_32,AVC,HFR,396p,600,-33.0650466682092
54,USOpen_HEVC_SFR_540p_1100K_12,57.451485132285924,USOpen_12,HEVC,SFR,540p,1100,-11.643365387234013
55,TNFNFL_HEVC_HFR_540p_1900K_3184,53.849726563319344,TNFNFL_3184,HEVC,HFR,540p,1900,-9.950243272838392
56,USOpen_HEVC_HFR_720p_2200K_12,61.99693765734405,USOpen_12,HEVC,HFR,720p,2200,-7.097912862175889
57,EPLDay_HEVC_HFR_288p_300K_20,31.513549297878523,EPLDay_20,HEVC,HFR,288p,300,-42.271820102610576
58,Cricket1_AVC_HFR_540p_1900K_198,55.54228672684549,Cricket1_198,AVC,HFR,540p,1900,-1.3996584996070425
59,TNFNFL_AVC_HFR_540p_1300K_3184,50.632391136264715,TNFNFL_3184,AVC,HFR,540p,1300,-13.16757869989302
60,EPLDay_AVC_HFR_720p_2200K_20,57.703945814622834,EPLDay_20,AVC,HFR,720p,2200,-16.08142358586627
61,TNFNFL_HEVC_HFR_720p_2200K_3184,55.35883032650711,TNFNFL_3184,HEVC,HFR,720p,2200,-8.441139509650625
62,USOpen_AVC_HFR_396p_900K_12,50.57358235194305,USOpen_12,AVC,HFR,396p,900,-18.521268167576885
63,EPLDay_HEVC_SFR_540p_1100K_20,48.40731600310951,EPLDay_20,HEVC,SFR,540p,1100,-25.378053397379595
64,USOpen_AVC_SFR_540p_1800K_12,58.96567451149572,USOpen_12,AVC,SFR,540p,1800,-10.129176008024217
65,EPLDay_AVC_SFR_720p_2000K_20,56.570176300542926,EPLDay_20,AVC,SFR,720p,2000,-17.215193099946177
66,Cricket1_HEVC_HFR_396p_600K_198,41.99785983745881,Cricket1_198,HEVC,HFR,396p,600,-14.94408538899372
67,USOpen_HEVC_SFR_720p_2200K_12,56.99884124421285,USOpen_12,HEVC,SFR,720p,2200,-12.09600927530709
68,TNFNFL_AVC_HFR_540p_1900K_3184,54.74640418955409,TNFNFL_3184,AVC,HFR,540p,1900,-9.053565646603644
69,EPLDay_AVC_SFR_396p_800K_20,39.22306537891544,EPLDay_20,AVC,SFR,396p,800,-34.56230402157366
70,USOpen_HEVC_SFR_540p_1900K_12,58.06040009455939,USOpen_12,HEVC,SFR,540p,1900,-11.034450424960546
71,TNFNFL_HEVC_SFR_396p_600K_3184,48.34994137253485,TNFNFL_3184,HEVC,SFR,396p,600,-15.450028463622886
72,EPLDay_AVC_SFR_540p_1800K_20,55.56588227400424,EPLDay_20,AVC,SFR,540p,1800,-18.219487126484864
73,TNFNFL_HEVC_HFR_288p_300K_3184,30.165766551461957,TNFNFL_3184,HEVC,HFR,288p,300,-33.63420328469578
74,USOpen_HEVC_SFR_396p_600K_12,50.42113931425762,USOpen_12,HEVC,SFR,396p,600,-18.673711205262315
75,Cricket1_AVC_HFR_396p_600K_198,40.88153723990512,Cricket1_198,AVC,HFR,396p,600,-16.06040798654741
76,TNFNFL_AVC_HFR_720p_2200K_3184,54.8658659877154,TNFNFL_3184,AVC,HFR,720p,2200,-8.934103848442334
77,Cricket1_HEVC_SFR_540p_1100K_198,52.054900416472115,Cricket1_198,HEVC,SFR,540p,1100,-4.8870448099804165
78,TNFNFL_AVC_HFR_396p_900K_3184,46.808878978657766,TNFNFL_3184,AVC,HFR,396p,900,-16.99109085749997
79,TNFF_HEVC_HFR_396p_900K_32,51.712637385429346,TNFF_32,HEVC,HFR,396p,900,-24.841761552324627
80,TNFNFL_HEVC_SFR_540p_1900K_3184,47.845539765061254,TNFNFL_3184,HEVC,SFR,540p,1900,-15.954430071096482
81,EPLDay_AVC_SFR_396p_400K_20,32.52055977802808,EPLDay_20,AVC,SFR,396p,400,-41.26480962246102
82,Cricket1_HEVC_HFR_720p_2200K_198,50.31148120636147,Cricket1_198,HEVC,HFR,720p,2200,-6.630464020091061
83,EPLDay_HEVC_SFR_288p_300K_20,30.435150633306378,EPLDay_20,HEVC,SFR,288p,300,-43.350218767182724
85,Cricket1_HEVC_HFR_540p_1900K_198,52.97554860535125,Cricket1_198,HEVC,HFR,540p,1900,-3.966396621101282
86,TNFNFL_HEVC_HFR_540p_1100K_3184,50.38511619412304,TNFNFL_3184,HEVC,HFR,540p,1100,-13.414853642034693
87,Cricket1_AVC_HFR_720p_2200K_198,55.800680386600426,Cricket1_198,AVC,HFR,720p,2200,-1.1412648398521057
88,TNFF_HEVC_SFR_540p_1100K_32,62.40378553814935,TNFF_32,HEVC,SFR,540p,1100,-14.150613399604623
89,USOpen_HEVC_HFR_540p_1100K_12,56.58998637596495,USOpen_12,HEVC,HFR,540p,1100,-12.50486414355499
90,TNFF_HEVC_SFR_288p_300K_32,42.241955951813424,TNFF_32,HEVC,SFR,288p,300,-34.31244298594055
91,TNFNFL_HEVC_HFR_396p_900K_3184,45.21302656095442,TNFNFL_3184,HEVC,HFR,396p,900,-18.586943275203318
92,EPLDay_AVC_HFR_396p_600K_20,35.706384689814435,EPLDay_20,AVC,HFR,396p,600,-38.07898471067467
93,USOpen_AVC_SFR_396p_400K_12,48.36874199912625,USOpen_12,AVC,SFR,396p,400,-20.726108520393687
94,EPLDay_HEVC_HFR_720p_2200K_20,63.49569994779468,EPLDay_20,HEVC,HFR,720p,2200,-10.289669452694426
95,TNFF_HEVC_SFR_540p_1900K_32,65.34182712167096,TNFF_32,HEVC,SFR,540p,1900,-11.212571816083013
96,EPLDay_HEVC_HFR_396p_600K_20,44.61734371201267,EPLDay_20,HEVC,HFR,396p,600,-29.168025688476433
97,Cricket1_AVC_SFR_396p_800K_198,43.617006769179554,Cricket1_198,AVC,SFR,396p,800,-13.324938457272978
98,USOpen_AVC_HFR_540p_1900K_12,57.19402990782805,USOpen_12,AVC,HFR,540p,1900,-11.900820611691884
99,Cricket1_AVC_HFR_540p_1300K_198,49.65265737598775,Cricket1_198,AVC,HFR,540p,1300,-7.289287850464781
100,TNFNFL_HEVC_SFR_396p_900K_3184,48.76468910730429,TNFNFL_3184,HEVC,SFR,396p,900,-15.035280728853444
101,Cricket1_AVC_SFR_720p_2000K_198,56.67293491304203,Cricket1_198,AVC,SFR,720p,2000,-0.2690103134105044
102,TNFF_AVC_HFR_540p_1300K_32,57.49055730469927,TNFF_32,AVC,HFR,540p,1300,-19.0638416330547
103,USOpen_AVC_SFR_720p_2000K_12,63.544375922019526,USOpen_12,AVC,SFR,720p,2000,-5.550474597500411
104,EPLDay_AVC_SFR_540p_1200K_20,49.4733384074051,EPLDay_20,AVC,SFR,540p,1200,-24.312030993084
105,Cricket1_AVC_SFR_540p_1800K_198,51.101278728683724,Cricket1_198,AVC,SFR,540p,1800,-5.840666497768808
106,TNFNFL_AVC_SFR_396p_400K_3184,36.21401177093489,TNFNFL_3184,AVC,SFR,396p,400,-27.585958065222847
107,USOpen_HEVC_HFR_288p_300K_12,42.93741208363334,USOpen_12,HEVC,HFR,288p,300,-26.157438435886597
108,TNFF_HEVC_SFR_396p_600K_32,48.03388805734513,TNFF_32,HEVC,SFR,396p,600,-28.520510880408843
109,TNFNFL_AVC_SFR_288p_200K_3184,28.484277883031055,TNFNFL_3184,AVC,SFR,288p,200,-35.31569195312668
110,Cricket1_HEVC_SFR_540p_1900K_198,57.08365203531057,Cricket1_198,HEVC,SFR,540p,1900,0.14170680885803932
112,Cricket1_AVC_HFR_396p_900K_198,46.14903103496794,Cricket1_198,AVC,HFR,396p,900,-10.792914191484591
113,EPLDay_HEVC_HFR_540p_1100K_20,53.12350344324581,EPLDay_20,HEVC,HFR,540p,1100,-20.661865957243293
114,TNFF_HEVC_HFR_396p_600K_32,53.21422207645097,TNFF_32,HEVC,HFR,396p,600,-23.340176861303
115,EPLDay_HEVC_HFR_396p_900K_20,45.55588086864963,EPLDay_20,HEVC,HFR,396p,900,-28.229488531839472
116,TNFF_AVC_HFR_288p_300K_32,36.0130977949519,TNFF_32,AVC,HFR,288p,300,-40.54130114280207
117,TNFNFL_HEVC_SFR_720p_2200K_3184,62.74235251472896,TNFNFL_3184,HEVC,SFR,720p,2200,-1.0576173214287792
118,TNFF_AVC_SFR_396p_400K_32,43.80496222493481,TNFF_32,AVC,SFR,396p,400,-32.74943671281916
119,EPLDay_HEVC_SFR_540p_1900K_20,56.02703263879394,EPLDay_20,HEVC,SFR,540p,1900,-17.758336761695162
120,USOpen_AVC_SFR_540p_1200K_12,55.226127745074294,USOpen_12,AVC,SFR,540p,1200,-13.868722774445644
121,TNFF_HEVC_SFR_396p_900K_32,56.866506355083594,TNFF_32,HEVC,SFR,396p,900,-19.68789258267038
122,Cricket1_AVC_SFR_396p_400K_198,40.00286013047206,Cricket1_198,AVC,SFR,396p,400,-16.939085095980474
123,TNFNFL_AVC_HFR_288p_300K_3184,34.09385891267558,TNFNFL_3184,AVC,HFR,288p,300,-29.706110923482157
124,USOpen_AVC_HFR_540p_1300K_12,56.537668174548,USOpen_12,AVC,HFR,540p,1300,-12.557182344971935
125,USOpen_AVC_HFR_396p_600K_176,46.42707682142858,USOpen_176,AVC,HFR,396p,600,-27.34595199338623
126,EPLDay_HEVC_HFR_288p_300K_48,33.200971571428575,EPLDay_48,HEVC,HFR,288p,300,-40.980127642857134
128,EPLDay_AVC_SFR_288p_200K_48,28.995150363636366,EPLDay_48,AVC,SFR,288p,200,-45.18594885064934
129,Cricket2_AVC_SFR_396p_800K_120,46.41574857142856,Cricket2_120,AVC,SFR,396p,800,-15.089469428571455
130,EPLDay_HEVC_SFR_720p_2200K_48,60.735490178571446,EPLDay_48,HEVC,SFR,720p,2200,-13.445609035714263
131,EPLNight_HEVC_SFR_540p_1100K_20,52.18293046428571,EPLNight_20,HEVC,SFR,540p,1100,-26.198928928571426
132,EPLDay_AVC_SFR_396p_400K_48,37.87147669565217,EPLDay_48,AVC,SFR,396p,400,-36.30962251863354
133,Cricket2_HEVC_HFR_540p_1100K_120,52.170867464285706,Cricket2_120,HEVC,HFR,540p,1100,-9.334350535714307
135,EPLNight_HEVC_SFR_396p_600K_20,46.47103489285714,EPLNight_20,HEVC,SFR,396p,600,-31.910824499999997
136,EPLDay_AVC_HFR_288p_300K_48,38.259488964285715,EPLDay_48,AVC,HFR,288p,300,-35.92161024999999
137,EPLNight_AVC_SFR_396p_400K_20,42.54767232142858,EPLNight_20,AVC,SFR,396p,400,-35.83418707142856
138,USOpen_HEVC_SFR_288p_300K_176,38.02576035714286,USOpen_176,HEVC,SFR,288p,300,-35.74726845767195
139,TNFF_HEVC_SFR_720p_2200K_304,66.90271232142858,TNFF_304,HEVC,SFR,720p,2200,-3.1855447142856974
141,TNFF_AVC_SFR_396p_800K_304,44.20106910714286,TNFF_304,AVC,SFR,396p,800,-25.88718792857142
142,USOpen_AVC_HFR_720p_2200K_176,65.07862710714286,USOpen_176,AVC,HFR,720p,2200,-8.694401707671943
143,TNFF_AVC_HFR_540p_1900K_304,56.35809939285714,TNFF_304,AVC,HFR,540p,1900,-13.730157642857137
144,Cricket2_HEVC_HFR_396p_600K_120,42.61669382142857,Cricket2_120,HEVC,HFR,396p,600,-18.888524178571444
145,TNFF_HEVC_HFR_540p_1100K_304,50.95181932142857,TNFF_304,HEVC,HFR,540p,1100,-19.136437714285705
146,EPLNight_AVC_HFR_396p_600K_20,40.71527214285714,EPLNight_20,AVC,HFR,396p,600,-37.66658725
147,EPLDay_HEVC_HFR_540p_1900K_48,55.56474678571429,EPLDay_48,HEVC,HFR,540p,1900,-18.616352428571417
148,TNFF_AVC_SFR_288p_200K_304,27.14644170714286,TNFF_304,AVC,SFR,288p,200,-42.94181532857142
149,EPLDay_HEVC_SFR_396p_900K_48,48.60711760714286,EPLDay_48,HEVC,SFR,396p,900,-25.573981607142848
150,TNFF_AVC_HFR_720p_2200K_304,60.72932792857143,TNFF_304,AVC,HFR,720p,2200,-9.358929107142849
151,EPLDay_AVC_SFR_540p_1200K_48,51.28383728571429,EPLDay_48,AVC,SFR,540p,1200,-22.897261928571417
152,Cricket2_AVC_HFR_396p_600K_120,39.532369464285715,Cricket2_120,AVC,HFR,396p,600,-21.9728485357143
153,EPLDay_AVC_HFR_540p_1900K_48,56.16985317857143,EPLDay_48,AVC,HFR,540p,1900,-18.01124603571428
154,TNFF_HEVC_HFR_288p_300K_304,31.530837285714284,TNFF_304,HEVC,HFR,288p,300,-38.557419749999994
155,Cricket2_HEVC_SFR_396p_900K_120,51.655947142857144,Cricket2_120,HEVC,SFR,396p,900,-9.84927085714287
156,EPLNight_AVC_HFR_540p_1900K_20,56.881723714285705,EPLNight_20,AVC,HFR,540p,1900,-21.500135678571432
157,USOpen_AVC_SFR_396p_800K_176,48.31826814285714,USOpen_176,AVC,SFR,396p,800,-25.454760671957665
158,Cricket2_HEVC_HFR_396p_900K_120,47.40617839285714,Cricket2_120,HEVC,HFR,396p,900,-14.09903960714287
159,USOpen_AVC_SFR_288p_200K_176,32.28586221428572,USOpen_176,AVC,SFR,288p,200,-41.487166600529086
160,TNFF_AVC_HFR_396p_900K_304,45.47369435714286,TNFF_304,AVC,HFR,396p,900,-24.614562678571417
161,USOpen_HEVC_HFR_540p_1900K_176,58.52731299999999,USOpen_176,HEVC,HFR,540p,1900,-15.245715814814815
162,Cricket2_AVC_SFR_540p_1800K_120,49.65272542857142,Cricket2_120,AVC,SFR,540p,1800,-11.852492571428591
163,TNFF_AVC_SFR_720p_2000K_304,62.11683989285715,TNFF_304,AVC,SFR,720p,2000,-7.971417142857128
164,EPLNight_AVC_SFR_288p_200K_20,30.35113517857143,EPLNight_20,AVC,SFR,288p,200,-48.03072421428571
165,TNFF_HEVC_HFR_540p_1900K_304,57.49422178571429,TNFF_304,HEVC,HFR,540p,1900,-12.59403524999999
166,EPLNight_HEVC_HFR_396p_600K_20,45.330397964285716,EPLNight_20,HEVC,HFR,396p,600,-33.05146142857142
167,EPLDay_AVC_HFR_720p_2200K_48,65.18137857142857,EPLDay_48,AVC,HFR,720p,2200,-8.999720642857142
168,USOpen_AVC_HFR_288p_300K_176,34.38475853571429,USOpen_176,AVC,HFR,288p,300,-39.38827027910052
169,TNFF_AVC_SFR_540p_1200K_304,52.91222814285714,TNFF_304,AVC,SFR,540p,1200,-17.17602889285714
170,USOpen_HEVC_HFR_396p_900K_176,51.74050900000001,USOpen_176,HEVC,HFR,396p,900,-22.032519814814798
171,Cricket2_AVC_HFR_720p_2200K_120,51.43954503571428,Cricket2_120,AVC,HFR,720p,2200,-10.065672964285731
172,USOpen_HEVC_HFR_396p_600K_176,45.741097642857135,USOpen_176,HEVC,HFR,396p,600,-28.031931171957673
173,TNFF_HEVC_HFR_720p_2200K_304,63.98085553571429,TNFF_304,HEVC,HFR,720p,2200,-6.1074014999999875
174,USOpen_HEVC_SFR_396p_900K_176,48.996734964285714,USOpen_176,HEVC,SFR,396p,900,-24.776293850529093
175,EPLNight_HEVC_SFR_540p_1900K_20,57.96160214285714,EPLNight_20,HEVC,SFR,540p,1900,-20.42025725
176,TNFF_AVC_SFR_540p_1800K_304,59.43016782142856,TNFF_304,AVC,SFR,540p,1800,-10.658089214285717
177,EPLNight_AVC_HFR_540p_1300K_20,54.082760214285706,EPLNight_20,AVC,HFR,540p,1300,-24.29909917857143
178,TNFF_AVC_HFR_396p_600K_304,44.96350332142857,TNFF_304,AVC,HFR,396p,600,-25.12475371428571
179,USOpen_HEVC_SFR_540p_1100K_176,50.04076542857143,USOpen_176,HEVC,SFR,540p,1100,-23.732263386243375
180,Cricket2_HEVC_HFR_540p_1900K_120,53.38826617857143,Cricket2_120,HEVC,HFR,540p,1900,-8.116951821428586
181,USOpen_HEVC_HFR_720p_2200K_176,67.0150462142857,USOpen_176,HEVC,HFR,720p,2200,-6.757982600529104
182,EPLNight_HEVC_HFR_288p_300K_20,34.72264957142857,EPLNight_20,HEVC,HFR,288p,300,-43.65920982142857
183,EPLDay_AVC_HFR_396p_900K_48,47.964800107142864,EPLDay_48,AVC,HFR,396p,900,-26.216299107142845
184,Cricket2_AVC_SFR_396p_400K_120,40.71816885714286,Cricket2_120,AVC,SFR,396p,400,-20.787049142857157
185,EPLNight_AVC_SFR_396p_800K_20,45.25100957142856,EPLNight_20,AVC,SFR,396p,800,-33.130849821428576
186,Cricket2_HEVC_SFR_720p_2200K_120,57.29251571428573,Cricket2_120,HEVC,SFR,720p,2200,-4.212702285714286
187,USOpen_AVC_HFR_396p_900K_176,46.81862764285713,USOpen_176,AVC,HFR,396p,900,-26.954401171957677
188,EPLNight_AVC_HFR_288p_300K_20,34.45382264285714,EPLNight_20,AVC,HFR,288p,300,-43.92803675
189,USOpen_AVC_SFR_540p_1800K_176,53.680140535714294,USOpen_176,AVC,SFR,540p,1800,-20.092888279100514
190,EPLNight_AVC_SFR_720p_2000K_20,61.64819899999999,EPLNight_20,AVC,SFR,720p,2000,-16.733660392857146
191,EPLDay_AVC_HFR_396p_600K_48,41.80653782142857,EPLDay_48,AVC,HFR,396p,600,-32.37456139285714
192,USOpen_HEVC_SFR_720p_2200K_176,62.616022464285706,USOpen_176,HEVC,SFR,720p,2200,-11.157006350529102
193,Cricket2_AVC_HFR_540p_1900K_120,51.03987750000001,Cricket2_120,AVC,HFR,540p,1900,-10.465340500000003
194,EPLNight_AVC_SFR_540p_1200K_20,52.969865285714285,EPLNight_20,AVC,SFR,540p,1200,-25.411994107142853
195,USOpen_HEVC_SFR_540p_1900K_176,57.74019675,USOpen_176,HEVC,SFR,540p,1900,-16.032832064814805
196,Cricket2_HEVC_SFR_396p_600K_120,45.76002564285715,Cricket2_120,HEVC,SFR,396p,600,-15.745192357142862
197,EPLNight_AVC_SFR_540p_1800K_20,55.533356964285716,EPLNight_20,AVC,SFR,540p,1800,-22.84850242857142
198,Cricket2_AVC_SFR_540p_1200K_120,49.604230821428565,Cricket2_120,AVC,SFR,540p,1200,-11.900987178571448
199,USOpen_HEVC_SFR_396p_600K_176,48.282485821428565,USOpen_176,HEVC,SFR,396p,600,-25.490542993386242
200,EPLDay_HEVC_HFR_396p_900K_48,44.37020042857143,EPLDay_48,HEVC,HFR,396p,900,-29.81089878571428
201,Cricket2_HEVC_HFR_288p_300K_120,33.26384921428571,Cricket2_120,HEVC,HFR,288p,300,-28.2413687857143
202,EPLDay_AVC_SFR_720p_2000K_48,63.080566000000005,EPLDay_48,AVC,SFR,720p,2000,-11.100533214285704
203,Cricket2_AVC_SFR_288p_200K_120,30.17583817857143,Cricket2_120,AVC,SFR,288p,200,-31.329379821428585
204,TNFF_HEVC_HFR_396p_900K_304,43.955741428571436,TNFF_304,HEVC,HFR,396p,900,-26.132515607142842
205,Cricket2_HEVC_SFR_540p_1100K_120,52.86969271428571,Cricket2_120,HEVC,SFR,540p,1100,-8.635525285714301
206,EPLNight_AVC_HFR_720p_2200K_20,65.99971000000001,EPLNight_20,AVC,HFR,720p,2200,-12.38214939285713
207,EPLDay_AVC_SFR_396p_800K_48,47.48222054166666,EPLDay_48,AVC,SFR,396p,800,-26.698878672619045
208,EPLNight_HEVC_SFR_288p_300K_20,35.18055325,EPLNight_20,HEVC,SFR,288p,300,-43.201306142857135
210,EPLDay_AVC_SFR_540p_1800K_48,54.22769710714285,EPLDay_48,AVC,SFR,540p,1800,-19.953402107142857
211,Cricket2_HEVC_SFR_288p_300K_120,36.43860064285714,Cricket2_120,HEVC,SFR,288p,300,-25.066617357142874
212,EPLDay_AVC_HFR_540p_1300K_48,54.19487457142857,EPLDay_48,AVC,HFR,540p,1300,-19.986224642857138
213,TNFF_HEVC_SFR_540p_1100K_304,57.69970225000001,TNFF_304,HEVC,SFR,540p,1100,-12.38855478571427
214,USOpen_HEVC_HFR_540p_1100K_176,53.926779107142856,USOpen_176,HEVC,HFR,540p,1100,-19.84624970767195
215,TNFF_HEVC_SFR_288p_300K_304,32.621873375,TNFF_304,HEVC,SFR,288p,300,-37.46638366071428
216,Cricket2_AVC_SFR_720p_2000K_120,52.72325935714285,Cricket2_120,AVC,SFR,720p,2000,-8.781958642857163
217,EPLNight_AVC_HFR_396p_900K_20,47.34719067857143,EPLNight_20,AVC,HFR,396p,900,-31.034668714285708
218,USOpen_AVC_SFR_396p_400K_176,41.81528264285714,USOpen_176,AVC,SFR,396p,400,-31.957746171957666
219,EPLNight_HEVC_HFR_720p_2200K_20,64.13888439285715,EPLNight_20,HEVC,HFR,720p,2200,-14.242974999999987
220,TNFF_HEVC_SFR_540p_1900K_304,58.41455383214286,TNFF_304,HEVC,SFR,540p,1900,-11.67370320357142
221,EPLNight_HEVC_HFR_540p_1100K_20,55.28298592857142,EPLNight_20,HEVC,HFR,540p,1100,-23.098873464285717
222,EPLDay_HEVC_HFR_540p_1100K_48,55.86629607142857,EPLDay_48,HEVC,HFR,540p,1100,-18.314803142857137
223,USOpen_AVC_HFR_540p_1900K_176,53.57357853571428,USOpen_176,AVC,HFR,540p,1900,-20.199450279100525
224,EPLDay_HEVC_SFR_540p_1100K_48,50.64208960714285,EPLDay_48,HEVC,SFR,540p,1100,-23.53900960714286
