,video,mos_list,content,codec,fr,res,bitrate
0,USOpen_HEVC_HFR_396p_600K_166,"[26, 1, 35, 57, 41, 58, 35, 21, 38, 50, 35, 45, 46, 33, 44, 32, 16, 20, 58, 30, 67, 43, 60, 40, 42, 11, 50, 38, 68, 56]",USOpen_166,HEVC,HFR,396p,600
1,EPLNight_AVC_HFR_720p_2200K_0,"[58, 74, 56, 77, 74, 27, 31, 51, 93, 88, 95, 67, 74, 87, 68, 95, 63, 75, 64, 89, 98, 61, 49, 57, 90, 65, 14, 85, 81, 99, 79]",EPLNight_0,AVC,HFR,720p,2200
2,Cricket2_AVC_HFR_540p_1900K_90,"[39, 55, 59, 37, 5, 41, 25, 43, 72, 33, 57, 46, 45, 33, 32, 52, 49, 62, 48, 87, 43, 53, 24, 39, 41, 49, 45, 54, 46]",Cricket2_90,AVC,HFR,540p,1900
3,Cricket2_HEVC_HFR_396p_900K_90,"[37, 12, 41, 57, 42, 26, 33, 25, 59, 60, 33, 57, 28, 34, 28, 26, 36, 43, 36, 25, 43, 36, 41, 24, 37, 11, 37, 40, 36, 43]",Cricket2_90,HEVC,HFR,396p,900
4,TNFF_HEVC_SFR_396p_900K_144,"[20, 1, 32, 25, 42, 11, 57, 1, 41, 69, 33, 43, 35, 55, 49, 32, 32, 36, 28, 70, 15, 27, 33, 60, 43, 45, 42, 50, 44, 41, 36]",TNFF_144,HEVC,SFR,396p,900
5,Cricket2_AVC_HFR_396p_900K_90,"[35, 46, 21, 43, 26, 32, 36, 19, 56, 29, 49, 23, 32, 34, 41, 17, 34, 41, 60, 31, 57, 36, 75, 43, 27, 39, 24, 38, 20, 64, 50]",Cricket2_90,AVC,HFR,396p,900
6,USOpen_AVC_HFR_396p_900K_0,"[56, 7, 26, 39, 30, 49, 30, 33, 63, 41, 50, 64, 62, 49, 73, 31, 38, 32, 48, 32, 74, 38, 46, 28, 37, 29, 61, 34, 47, 61]",USOpen_0,AVC,HFR,396p,900
7,TNFF_HEVC_SFR_720p_2200K_144,"[40, 51, 45, 72, 67, 45, 38, 41, 82, 98, 90, 72, 70, 36, 66, 55, 82, 54, 71, 66, 80, 75, 41, 82, 50, 67, 47, 70, 98, 81]",TNFF_144,HEVC,SFR,720p,2200
8,EPLDay_AVC_HFR_540p_1900K_0,"[43, 41, 66, 47, 32, 51, 41, 71, 52, 60, 73, 77, 18, 59, 38, 42, 49, 60, 51, 73, 62, 55, 58, 37, 13, 50, 70, 74, 77]",EPLDay_0,AVC,HFR,540p,1900
9,TNFF_HEVC_HFR_540p_1900K_16,"[74, 6, 23, 68, 47, 47, 42, 18, 75, 74, 75, 77, 75, 71, 46, 78, 69, 28, 32, 52, 87, 63, 50, 64, 59, 58, 35, 69, 59, 85, 58]",TNFF_16,HEVC,HFR,540p,1900
10,USOpen_HEVC_SFR_540p_1100K_166,"[45, 8, 36, 49, 68, 46, 41, 42, 63, 65, 69, 61, 69, 83, 63, 76, 71, 33, 48, 62, 75, 59, 71, 65, 64, 61, 53, 60, 54, 74, 67]",USOpen_166,HEVC,SFR,540p,1100
11,USOpen_HEVC_SFR_288p_300K_0,"[34, 25, 50, 30, 2, 29, 7, 24, 60, 24, 40, 36, 26, 39, 19, 23, 22, 11, 24, 19, 42, 45, 10, 27, 23, 13, 21, 22, 16]",USOpen_0,HEVC,SFR,288p,300
12,TNFNFL_AVC_SFR_540p_1800K_0,"[61, 51, 27, 43, 45, 5, 32, 25, 60, 58, 43, 77, 70, 60, 34, 50, 37, 28, 50, 64, 38, 41, 57, 51, 44, 24, 57, 45, 49, 60]",TNFNFL_0,AVC,SFR,540p,1800
13,TNFF_HEVC_HFR_540p_1900K_144,"[40, 52, 67, 67, 40, 30, 36, 65, 78, 38, 60, 43, 69, 54, 52, 17, 47, 70, 66, 78, 40, 77, 61, 44, 41, 68, 60, 62, 76, 69]",TNFF_144,HEVC,HFR,540p,1900
