,video,mos,mos_std,content,codec,fr,res,bitrate
0,USOpen_AVC_HFR_396p_600K_12,44.1,12.644761761298627,USOpen_12,AVC,HFR,396p,600
1,Cricket1_AVC_HFR_288p_300K_198,19.666666666666668,15.544202206038824,Cricket1_198,AVC,HFR,288p,300
2,EPLDay_SRC_SRC_SRC_SRC_20,88.03333333333333,11.691830005986612,EPLDay_20,SRC,SRC,SRC,100000
3,Cricket1_HEVC_HFR_396p_900K_198,35.7,17.027722494019372,Cricket1_198,HEVC,HFR,396p,900
4,TNFNFL_AVC_SFR_396p_800K_3184,34.36666666666667,13.237530820444654,TNFNFL_3184,AVC,SFR,396p,800
5,Cricket1_HEVC_SFR_720p_2200K_198,58.43333333333333,17.56261812929825,Cricket1_198,HEVC,SFR,720p,2200
6,EPLDay_HEVC_SFR_396p_600K_20,30.566666666666666,17.077633195368602,EPLDay_20,HEVC,SFR,396p,600
7,Cricket1_HEVC_HFR_540p_1100K_198,40.3,18.45923436476533,Cricket1_198,HEVC,HFR,540p,1100
8,TNFNFL_AVC_SFR_720p_2000K_3184,59.6,16.013744096868788,TNFNFL_3184,AVC,SFR,720p,2000
9,USOpen_SRC_SRC_SRC_SRC_12,73.53333333333333,17.26023046067333,USOpen_12,SRC,SRC,SRC,100000
10,EPLDay_HEVC_SFR_396p_900K_20,39.8,17.38275007011261,EPLDay_20,HEVC,SFR,396p,900
11,Cricket1_HEVC_HFR_288p_300K_198,22.3,17.7672920465294,Cricket1_198,HEVC,HFR,288p,300
12,EPLDay_AVC_SFR_288p_200K_20,6.434782608695652,7.688648249807163,EPLDay_20,AVC,SFR,288p,200
13,USOpen_HEVC_SFR_288p_300K_12,30.333333333333332,12.466844918511748,USOpen_12,HEVC,SFR,288p,300
14,TNFF_HEVC_SFR_720p_2200K_32,81.36666666666666,16.263421807506834,TNFF_32,HEVC,SFR,720p,2200
15,Cricket1_SRC_SRC_SRC_SRC_198,61.56666666666667,21.826105673914643,Cricket1_198,SRC,SRC,SRC,100000
16,TNFF_AVC_SFR_396p_800K_32,41.53333333333333,15.679569155078493,TNFF_32,AVC,SFR,396p,800
17,USOpen_AVC_HFR_720p_2200K_12,60.8,17.384667574235255,USOpen_12,AVC,HFR,720p,2200
18,TNFF_AVC_HFR_540p_1900K_32,60.766666666666666,20.28247738539079,TNFF_32,AVC,HFR,540p,1900
19,TNFNFL_AVC_SFR_540p_1800K_3184,48.86666666666667,17.783388003664793,TNFNFL_3184,AVC,SFR,540p,1800
20,TNFF_HEVC_HFR_540p_1100K_32,63.266666666666666,13.987931306030289,TNFF_32,HEVC,HFR,540p,1100
21,EPLDay_AVC_HFR_288p_300K_20,3.8666666666666667,4.978174587358525,EPLDay_20,AVC,HFR,288p,300
22,Cricket1_AVC_SFR_288p_200K_198,11.166666666666666,11.48936706505435,Cricket1_198,AVC,SFR,288p,200
23,TNFF_AVC_SFR_288p_200K_32,9.419354838709678,10.092393154438986,TNFF_32,AVC,SFR,288p,200
24,Cricket1_AVC_SFR_540p_1200K_198,45.1,16.813387523042465,Cricket1_198,AVC,SFR,540p,1200
25,TNFF_AVC_HFR_720p_2200K_32,68.96666666666667,14.914161800859684,TNFF_32,AVC,HFR,720p,2200
