,video,mos,content,codec,fr,res,bitrate
0,USOpen_HEVC_HFR_396p_600K_166,-0.05667963237037038,USOpen_166,HEVC,HFR,396p,600
1,EPLNight_AVC_HFR_720p_2200K_0,1.2012059266666666,EPLNight_0,AVC,HFR,720p,2200
2,Cricket2_AVC_HFR_540p_1900K_90,0.11279327324444444,Cricket2_90,AVC,HFR,540p,1900
3,EPLDay_AVC_SFR_288p_200K_8,-1.7829986888888891,EPLDay_8,AVC,SFR,288p,200
4,Cricket2_HEVC_HFR_396p_900K_90,-0.25759811633333335,Cricket2_90,HEVC,HFR,396p,900
5,TNFF_HEVC_SFR_396p_900K_144,-0.23045409508592593,TNFF_144,HEVC,SFR,396p,900
6,Cricket2_AVC_HFR_396p_900K_90,-0.25912667240740744,Cricket2_90,AVC,HFR,396p,900
7,USOpen_AVC_HFR_396p_900K_0,-0.01807142096296295,USOpen_0,AVC,HFR,396p,900
8,TNFF_HEVC_SFR_720p_2200K_144,1.0286807321481481,TNFF_144,HEVC,SFR,720p,2200
9,EPLDay_AVC_HFR_540p_1900K_0,0.5172248711111112,EPLDay_0,AVC,HFR,540p,1900
10,TNFF_HEVC_HFR_540p_1900K_16,0.6965395637037038,TNFF_16,HEVC,HFR,540p,1900
11,USOpen_HEVC_SFR_540p_1100K_166,0.7586049886851852,USOpen_166,HEVC,SFR,540p,1100
12,USOpen_HEVC_SFR_288p_300K_0,-0.7739701266666666,USOpen_0,HEVC,SFR,288p,300
13,TNFNFL_AVC_SFR_540p_1800K_0,0.11114265611111111,TNFNFL_0,AVC,SFR,540p,1800
14,TNFF_HEVC_HFR_540p_1900K_144,0.5525887509037036,TNFF_144,HEVC,HFR,540p,1900
15,USOpen_HEVC_HFR_288p_300K_0,-0.8315357992592594,USOpen_0,HEVC,HFR,288p,300
16,EPLDay_AVC_HFR_720p_2200K_0,0.9176871788461539,EPLDay_0,AVC,HFR,720p,2200
17,USOpen_AVC_HFR_720p_2200K_166,1.0479734632592592,USOpen_166,AVC,HFR,720p,2200
18,USOpen_HEVC_SFR_396p_600K_0,0.002294395792592601,USOpen_0,HEVC,SFR,396p,600
19,TNFF_HEVC_HFR_288p_300K_16,-1.240740572222222,TNFF_16,HEVC,HFR,288p,300
20,Cricket1_HEVC_HFR_720p_2200K_86,0.9109024260992592,Cricket1_86,HEVC,HFR,720p,2200
21,TNFF_AVC_SFR_396p_800K_16,-0.2795467432814815,TNFF_16,AVC,SFR,396p,800
22,TNFF_HEVC_HFR_288p_300K_144,-1.3762380465333333,TNFF_144,HEVC,HFR,288p,300
23,EPLDay_AVC_HFR_540p_1900K_8,0.6026180346666666,EPLDay_8,AVC,HFR,540p,1900
