,video,mos,content,codec,fr,res,bitrate
0,USOpen_AVC_HFR_396p_600K_12,47.34526578660594,USOpen_12,AVC,HFR,396p,600
1,Cricket1_AVC_HFR_288p_300K_198,35.65598288177762,Cricket1_198,AVC,HFR,288p,300
2,EPLDay_SRC_SRC_SRC_SRC_20,73.7853694004891,EPLDay_20,SRC,SRC,SRC,100000
3,Cricket1_HEVC_HFR_396p_900K_198,42.98071504972857,Cricket1_198,HEVC,HFR,396p,900
4,TNFNFL_AVC_SFR_396p_800K_3184,43.35431886402826,TNFNFL_3184,AVC,SFR,396p,800
5,Cricket1_HEVC_SFR_720p_2200K_198,58.37446768278655,Cricket1_198,HEVC,SFR,720p,2200
6,EPLDay_HEVC_SFR_396p_600K_20,41.417676874861215,EPLDay_20,HEVC,SFR,396p,600
7,Cricket1_HEVC_HFR_540p_1100K_198,48.74976506785978,Cricket1_198,HEVC,HFR,540p,1100
8,TNFNFL_AVC_SFR_720p_2000K_3184,57.52061001079088,TNFNFL_3184,AVC,SFR,720p,2000
9,USOpen_SRC_SRC_SRC_SRC_12,69.09485051951994,USOpen_12,SRC,SRC,SRC,100000
10,EPLDay_HEVC_SFR_396p_900K_20,46.258037204035546,EPLDay_20,HEVC,SFR,396p,900
11,Cricket1_HEVC_HFR_288p_300K_198,36.87098451666328,Cricket1_198,HEVC,HFR,288p,300
12,EPLDay_AVC_SFR_288p_200K_20,22.65629784100094,EPLDay_20,AVC,SFR,288p,200
13,USOpen_HEVC_SFR_288p_300K_12,39.41191970539964,USOpen_12,HEVC,SFR,288p,300
14,TNFF_HEVC_SFR_720p_2200K_32,72.3118737612069,TNFF_32,HEVC,SFR,720p,2200
15,Cricket1_SRC_SRC_SRC_SRC_198,56.94194522645253,Cricket1_198,SRC,SRC,SRC,100000
16,TNFF_AVC_SFR_396p_800K_32,48.59251020535533,TNFF_32,AVC,SFR,396p,800
17,USOpen_AVC_HFR_720p_2200K_12,59.307732028680086,USOpen_12,AVC,HFR,720p,2200
18,TNFF_AVC_HFR_540p_1900K_32,58.941048893556044,TNFF_32,AVC,HFR,540p,1900
19,TNFNFL_AVC_SFR_540p_1800K_3184,56.017085754564285,TNFNFL_3184,AVC,SFR,540p,1800
20,TNFF_HEVC_HFR_540p_1100K_32,59.65103635853493,TNFF_32,HEVC,HFR,540p,1100
21,EPLDay_AVC_HFR_288p_300K_20,24.569255299006716,EPLDay_20,AVC,HFR,288p,300
22,Cricket1_AVC_SFR_288p_200K_198,27.459191480463527,Cricket1_198,AVC,SFR,288p,200
23,TNFF_AVC_SFR_288p_200K_32,27.598016128981392,TNFF_32,AVC,SFR,288p,200
24,Cricket1_AVC_SFR_540p_1200K_198,51.53100772389162,Cricket1_198,AVC,SFR,540p,1200
25,TNFF_AVC_HFR_720p_2200K_32,65.10193321859555,TNFF_32,AVC,HFR,720p,2200
26,Cricket1_HEVC_SFR_396p_900K_198,47.52691443624233,Cricket1_198,HEVC,SFR,396p,900
27,TNFNFL_AVC_HFR_396p_600K_3184,38.333161245243495,TNFNFL_3184,AVC,HFR,396p,600
28,Cricket1_HEVC_SFR_288p_300K_198,41.207281025437155,Cricket1_198,HEVC,SFR,288p,300
29,TNFF_HEVC_HFR_288p_300K_32,40.98776220369314,TNFF_32,HEVC,HFR,288p,300
30,TNFNFL_HEVC_SFR_540p_1100K_3184,53.10045209326691,TNFNFL_3184,HEVC,SFR,540p,1100
31,EPLDay_AVC_HFR_540p_1900K_20,52.9697814010593,EPLDay_20,AVC,HFR,540p,1900
32,USOpen_AVC_SFR_396p_800K_12,52.88559716748072,USOpen_12,AVC,SFR,396p,800
33,TNFNFL_HEVC_SFR_288p_300K_3184,34.09881011728312,TNFNFL_3184,HEVC,SFR,288p,300
34,USOpen_AVC_SFR_288p_200K_12,38.09940474050704,USOpen_12,AVC,SFR,288p,200
35,TNFF_AVC_HFR_396p_900K_32,48.31310054622183,TNFF_32,AVC,HFR,396p,900
36,USOpen_HEVC_HFR_540p_1900K_12,58.39543018184179,USOpen_12,HEVC,HFR,540p,1900
37,TNFNFL_HEVC_HFR_396p_600K_3184,45.02302466802212,TNFNFL_3184,HEVC,HFR,396p,600
38,TNFF_AVC_SFR_720p_2000K_32,64.22430544695405,TNFF_32,AVC,SFR,720p,2000
39,EPLDay_AVC_HFR_396p_900K_20,46.96943451131335,EPLDay_20,AVC,HFR,396p,900
40,TNFF_HEVC_HFR_540p_1900K_32,65.96098405342265,TNFF_32,HEVC,HFR,540p,1900
41,EPLDay_HEVC_HFR_540p_1900K_20,51.2982655953378,EPLDay_20,HEVC,HFR,540p,1900
42,Cricket1_HEVC_SFR_396p_600K_198,47.994667923428715,Cricket1_198,HEVC,SFR,396p,600
43,USOpen_AVC_HFR_288p_300K_12,40.74826818199518,USOpen_12,AVC,HFR,288p,300
44,TNFF_AVC_SFR_540p_1200K_32,55.80956837348814,TNFF_32,AVC,SFR,540p,1200
45,USOpen_HEVC_HFR_396p_900K_12,51.82791992653271,USOpen_12,HEVC,HFR,396p,900
46,TNFNFL_AVC_SFR_540p_1200K_3184,51.19157751291674,TNFNFL_3184,AVC,SFR,540p,1200
47,USOpen_HEVC_HFR_396p_600K_12,49.14830068124495,USOpen_12,HEVC,HFR,396p,600
48,TNFF_HEVC_HFR_720p_2200K_32,63.847599338793955,TNFF_32,HEVC,HFR,720p,2200
49,USOpen_HEVC_SFR_396p_900K_12,49.15490303322456,USOpen_12,HEVC,SFR,396p,900
50,EPLDay_HEVC_SFR_720p_2200K_20,55.94139376531219,EPLDay_20,HEVC,SFR,720p,2200
51,TNFF_AVC_SFR_540p_1800K_32,61.204119052661305,TNFF_32,AVC,SFR,540p,1800
52,EPLDay_AVC_HFR_540p_1300K_20,51.779911984035195,EPLDay_20,AVC,HFR,540p,1300
53,TNFF_AVC_HFR_396p_600K_32,43.489352269544774,TNFF_32,AVC,HFR,396p,600
54,USOpen_HEVC_SFR_540p_1100K_12,57.451485132285924,USOpen_12,HEVC,SFR,540p,1100
55,TNFNFL_HEVC_HFR_540p_1900K_3184,53.849726563319344,TNFNFL_3184,HEVC,HFR,540p,1900
56,USOpen_HEVC_HFR_720p_2200K_12,61.99693765734405,USOpen_12,HEVC,HFR,720p,2200
57,EPLDay_HEVC_HFR_288p_300K_20,31.513549297878523,EPLDay_20,HEVC,HFR,288p,300
58,Cricket1_AVC_HFR_540p_1900K_198,55.54228672684549,Cricket1_198,AVC,HFR,540p,1900
59,TNFNFL_AVC_HFR_540p_1300K_3184,50.632391136264715,TNFNFL_3184,AVC,HFR,540p,1300
60,EPLDay_AVC_HFR_720p_2200K_20,57.703945814622834,EPLDay_20,AVC,HFR,720p,2200
61,TNFNFL_HEVC_HFR_720p_2200K_3184,55.35883032650711,TNFNFL_3184,HEVC,HFR,720p,2200
62,USOpen_AVC_HFR_396p_900K_12,50.57358235194305,USOpen_12,AVC,HFR,396p,900
63,EPLDay_HEVC_SFR_540p_1100K_20,48.40731600310951,EPLDay_20,HEVC,SFR,540p,1100
64,USOpen_AVC_SFR_540p_1800K_12,58.96567451149572,USOpen_12,AVC,SFR,540p,1800
65,EPLDay_AVC_SFR_720p_2000K_20,56.570176300542926,EPLDay_20,AVC,SFR,720p,2000
66,Cricket1_HEVC_HFR_396p_600K_198,41.99785983745881,Cricket1_198,HEVC,HFR,396p,600
67,USOpen_HEVC_SFR_720p_2200K_12,56.99884124421285,USOpen_12,HEVC,SFR,720p,2200
68,TNFNFL_AVC_HFR_540p_1900K_3184,54.74640418955409,TNFNFL_3184,AVC,HFR,540p,1900
69,EPLDay_AVC_SFR_396p_800K_20,39.22306537891544,EPLDay_20,AVC,SFR,396p,800
