,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
0,0,69476502878467254491023945784146838376.y4m,95,True,USOpen_SRC_SRC_SRC_SRC_176.y4m,79.221176
1,1,217910609486578276218831644947706306431.y4m,94,True,TNFF_HEVC_SFR_540p_1100K_32.y4m,78.580025
2,2,255545995390452778961400520067376400583.y4m,73,True,USOpen_AVC_SFR_540p_1200K_176.y4m,65.11582
3,3,318798836357918053473838349228362891436.y4m,60,True,EPLDay_HEVC_HFR_540p_1100K_48.y4m,56.780834
4,4,36867318683568727150944689773249922946.y4m,17,True,TNFF_AVC_HFR_288p_300K_304.y4m,29.211266
5,5,212589998545278739117944214207280008278.y4m,11,True,USOpen_AVC_SFR_288p_200K_176.y4m,25.36435
6,6,241724479271545622991198140626793950691.y4m,51,True,USOpen_AVC_SFR_396p_400K_12.y4m,51.010456
7,7,264427719001308447113538077212518634660.y4m,70,True,Cricket1_HEVC_SFR_540p_1900K_198.y4m,63.192356
8,8,300436953669465265102078869371541609838.y4m,50,True,Cricket2_AVC_SFR_720p_2000K_120.y4m,50.369305
9,9,283369622124431245869121408293022316482.y4m,56,True,Cricket1_AVC_SFR_540p_1200K_198.y4m,54.216217
10,10,2250682035134305216097701981953866298.y4m,87,True,EPLNight_AVC_HFR_720p_2200K_20.y4m,74.09195
11,11,245250478931332179768400771354466926740.y4m,63,True,TNFF_AVC_HFR_396p_600K_32.y4m,58.70429
12,12,194735912003782974717992598010423340143.y4m,94,True,USOpen_AVC_SFR_540p_1200K_12.y4m,78.580025
13,13,286346309380442293610776387783360447228.y4m,51,True,Cricket1_HEVC_HFR_288p_300K_198.y4m,51.010456
14,14,49373582159152781312095355995878979527.y4m,62,True,USOpen_AVC_SFR_540p_1800K_12.y4m,58.063137
15,15,290326057017292985927881564953676041449.y4m,69,True,EPLNight_AVC_HFR_540p_1300K_20.y4m,62.551205
16,16,280508705618619363083131411479892238803.y4m,72,True,TNFF_AVC_HFR_540p_1300K_32.y4m,64.47466
17,17,54204099018813145640541640758854199351.y4m,23,True,Cricket2_AVC_SFR_288p_200K_120.y4m,33.05818
18,18,26461800895814734020424458427199823706.y4m,99,True,EPLNight_SRC_SRC_SRC_SRC_20.y4m,81.78579
19,19,282444525081854161880440814325164737688.y4m,68,True,TNFNFL_SRC_SRC_SRC_SRC_3184.y4m,61.910053
20,20,91768144592950238562953549090096308006.y4m,28,True,EPLNight_AVC_SFR_396p_800K_20.y4m,36.263943
21,21,308746183377883616034568609520839149329.y4m,67,True,EPLDay_AVC_SFR_540p_1800K_20.y4m,61.2689
22,22,190926580461640002550118744804951564761.y4m,35,True,EPLNight_AVC_HFR_396p_900K_20.y4m,40.752014
23,23,129813955263460260699884633481897421534.y4m,70,True,USOpen_HEVC_SFR_540p_1900K_12.y4m,63.192356
24,24,185565650687160261286899273529780990773.y4m,7,True,USOpen_HEVC_SFR_288p_300K_176.y4m,22.799738
25,25,65785639367550052434177462845695378059.y4m,7,True,EPLNight_HEVC_HFR_396p_600K_20.y4m,22.799738
26,26,169497983069054757540231138117798448622.y4m,72,True,TNFF_AVC_HFR_540p_1300K_304.y4m,64.47466
27,27,6942628265241378274172314879636168117.y4m,2,True,EPLNight_HEVC_SFR_288p_300K_20.y4m,19.593977
28,28,284472523365328988166087111790367290063.y4m,65,True,USOpen_AVC_HFR_540p_1900K_12.y4m,59.9866
29,29,248036618313580692193538890176276087925.y4m,81,True,TNFF_AVC_HFR_720p_2200K_304.y4m,70.24503
30,30,170491130495381192389440884615160361554.y4m,26,True,Cricket2_HEVC_HFR_396p_600K_120.y4m,34.98164
31,31,256473107763038133154298032696354539660.y4m,30,True,TNFF_HEVC_SFR_540p_1100K_304.y4m,37.54625
33,33,329999346872453461938861127764128778651.y4m,81,True,EPLNight_AVC_HFR_540p_1900K_20.y4m,19.593977
34,34,156586172577374797945677642267139664863.y4m,85,True,EPLDay_HEVC_HFR_720p_2200K_48.y4m,70.24503
35,35,58130500991515444445874419506402405088.y4m,72,True,TNFF_AVC_HFR_396p_900K_32.y4m,72.80965
36,36,185778862366547915410511859360753071479.y4m,67,True,Cricket1_AVC_SFR_396p_800K_198.y4m,64.47466
37,37,190694444818819132247064829153256585530.y4m,18,True,Cricket2_AVC_HFR_288p_300K_120.y4m,61.2689
38,38,59417347579616083958870438285593619489.y4m,16,True,Cricket1_AVC_SFR_288p_200K_198.y4m,29.852417
39,39,32570057079454123683852288893212585412.y4m,75,True,EPLDay_HEVC_HFR_396p_900K_20.y4m,28.570114
40,40,249438694953055087244425357472283988902.y4m,29,True,TNFNFL_AVC_SFR_288p_200K_3184.y4m,66.398125
41,41,107901760739961487610839586545485536977.y4m,64,True,Cricket2_HEVC_SFR_540p_1100K_120.y4m,36.905098
42,42,210763181947047564996341105436487056721.y4m,62,True,Cricket1_AVC_HFR_540p_1300K_198.y4m,59.345444
43,43,6723219633071289674909867754893884097.y4m,51,True,Cricket2_HEVC_SFR_396p_600K_120.y4m,58.063137
44,44,248248140172616426323697141246792374908.y4m,27,True,EPLNight_HEVC_HFR_288p_300K_20.y4m,51.010456
45,45,181697726342853092821256074451355146014.y4m,56,True,EPLDay_HEVC_SFR_540p_1100K_20.y4m,35.62279
46,46,51166165213409198358690751173675809115.y4m,33,True,USOpen_AVC_HFR_396p_600K_176.y4m,54.216217
47,47,185657067729012759575942057007200918981.y4m,85,True,TNFF_HEVC_SFR_720p_2200K_304.y4m,39.469707
48,48,31527954446657710796974439455278905040.y4m,74,True,TNFNFL_HEVC_HFR_540p_1900K_3184.y4m,72.80965
50,50,258405765020793278311747648918975111890.y4m,33,True,EPLNight_AVC_HFR_396p_600K_20.y4m,65.756966
51,51,63628500908607951574634535420152304225.y4m,58,True,USOpen_HEVC_SFR_396p_600K_12.y4m,39.469707
52,52,184819034898039371510406158920851381542.y4m,53,True,Cricket1_HEVC_SFR_540p_1100K_198.y4m,39.469707
53,53,192011648290187543789338698554234596588.y4m,41,True,TNFNFL_AVC_SFR_396p_800K_3184.y4m,55.498524
54,54,118520164395870642924642948657506187625.y4m,26,True,Cricket2_AVC_HFR_396p_600K_120.y4m,52.29276
55,55,292229406890047704191906797737136684753.y4m,74,True,Cricket1_AVC_SFR_720p_2000K_198.y4m,44.598927
56,56,275556457547635237495405742092472788306.y4m,16,True,EPLNight_HEVC_HFR_396p_900K_20.y4m,34.98164
57,57,226205218456556939102851269268880970698.y4m,38,True,TNFNFL_AVC_SFR_540p_1800K_3184.y4m,65.756966
