,Unnamed: 0,hash_name,score,first_session,video,raw_mos_zscore
0,0,336280816183787488384224108982778628874.y4m,23,True,Cricket2_HEVC_HFR_288p_300K_90.y4m,32.379955
1,1,68360330852844458466032385840218779291.y4m,77,True,EPLDay_SRC_SRC_SRC_SRC_0.y4m,83.29403
2,2,155407610695959803372557494324200683219.y4m,27,True,Cricket2_HEVC_SFR_288p_300K_90.y4m,36.15137
3,3,314445694172655561857797574770537949161.y4m,42,True,EPLNight_HEVC_SFR_396p_600K_0.y4m,50.29417
4,4,192218470441192607965650306309013103924.y4m,65,True,USOpen_AVC_HFR_540p_1300K_0.y4m,71.97979
5,5,137216627784701331568611955323066510024.y4m,48,True,TNFNFL_HEVC_HFR_540p_1100K_0.y4m,55.95129
6,6,316740762095389944678109342512019426954.y4m,23,True,TNFF_HEVC_HFR_288p_300K_144.y4m,32.379955
7,7,37747368638107780560344969287437680584.y4m,27,True,TNFNFL_AVC_HFR_288p_300K_0.y4m,36.15137
8,8,161637059544618047628905344138524073781.y4m,58,True,EPLNight_AVC_HFR_540p_1900K_0.y4m,65.37982
9,9,203705833798557677211092233890945342702.y4m,60,True,USOpen_AVC_SFR_540p_1800K_0.y4m,67.265526
10,10,189618431223948422201870436657855489365.y4m,65,True,EPLNight_AVC_SFR_540p_1200K_0.y4m,71.97979
11,11,21389282487617890959763953365015312314.y4m,65,True,TNFNFL_HEVC_SFR_540p_1100K_0.y4m,71.97979
12,12,87711263632846160488309817835132897308.y4m,48,True,EPLDay_AVC_SFR_540p_1800K_0.y4m,55.95129
13,13,264308092138755182072039819998151609791.y4m,70,True,Cricket1_HEVC_HFR_540p_1900K_86.y4m,76.69406
14,14,46377042948321384180881294973766225099.y4m,67,True,TNFF_HEVC_HFR_540p_1900K_144.y4m,73.8655
15,15,162863598070787543864311813184619205005.y4m,25,True,TNFF_AVC_SFR_288p_200K_16.y4m,34.265667
16,16,172485354443147687495826236125528020826.y4m,42,True,USOpen_AVC_HFR_396p_600K_0.y4m,50.29417
17,17,286944206728148461178567290794571858015.y4m,80,True,TNFNFL_HEVC_HFR_720p_2200K_0.y4m,86.12259
18,18,218390395050703807610449557399700576369.y4m,11,True,EPLDay_AVC_HFR_396p_600K_8.y4m,21.065718
19,19,267415303902360765580554161422735717450.y4m,75,True,Cricket1_HEVC_SFR_540p_1100K_86.y4m,81.408325
20,20,192368723192203004695936935825363039056.y4m,52,True,TNFF_AVC_SFR_540p_1200K_144.y4m,59.722702
21,21,183980321948346812736284926706715101317.y4m,44,True,Cricket2_HEVC_HFR_396p_600K_90.y4m,52.179874
22,22,88309363507104323586152800886860905139.y4m,45,True,TNFF_HEVC_HFR_540p_1100K_144.y4m,53.12273
23,23,65653653729269531469407532802087132975.y4m,87,True,EPLDay_SRC_SRC_SRC_SRC_8.y4m,92.722565
24,24,118020241481527181306766630823000514229.y4m,24,True,TNFNFL_AVC_SFR_396p_400K_0.y4m,33.32281
25,25,145534927248202929853560107448893222087.y4m,27,True,USOpen_AVC_SFR_396p_400K_166.y4m,36.15137
26,26,329845217083174815794255607628563435035.y4m,26,True,TNFNFL_AVC_HFR_396p_600K_0.y4m,35.20852
27,27,150659894948931297659024922918339500979.y4m,16,True,USOpen_AVC_HFR_288p_300K_166.y4m,25.779984
28,28,53644371848765098724854261231433522602.y4m,13,True,TNFNFL_HEVC_SFR_288p_300K_0.y4m,22.951424
29,29,163510072312799543427463656914320254963.y4m,58,True,Cricket2_AVC_HFR_540p_1300K_90.y4m,65.37982
30,30,148780398093569890309185963523923765906.y4m,21,True,TNFNFL_HEVC_HFR_396p_600K_0.y4m,30.49425
31,31,325572937761775283041949225561560650206.y4m,56,True,TNFF_AVC_SFR_540p_1200K_16.y4m,63.49412
32,32,60566402529378514910976425631595438513.y4m,8,True,EPLDay_AVC_SFR_396p_800K_0.y4m,18.237158
33,33,312945364894260530501230224730631997884.y4m,65,True,Cricket2_HEVC_HFR_720p_2200K_90.y4m,71.97979
34,34,286553958836311551609221694283557837761.y4m,34,True,Cricket1_AVC_HFR_396p_600K_86.y4m,42.751343
35,35,253844796835041788889216483918193819679.y4m,35,True,TNFF_HEVC_HFR_396p_900K_144.y4m,43.6942
36,36,288857684598560264085519527860329257950.y4m,27,True,EPLDay_HEVC_HFR_396p_600K_8.y4m,36.15137
37,37,73597536790541127537096780808876430199.y4m,66,True,USOpen_AVC_HFR_720p_2200K_0.y4m,72.92265
38,38,231500214070058543694510048677007043524.y4m,52,True,TNFNFL_HEVC_HFR_540p_1900K_0.y4m,59.722702
39,39,98463578067699146494304933440100035453.y4m,65,True,TNFF_AVC_HFR_720p_2200K_16.y4m,71.97979
40,40,332593043588804616285569038458071798115.y4m,26,True,Cricket2_AVC_HFR_288p_300K_90.y4m,35.20852
