,0,1
0,47991026169440524977264633586016271986.y4m,42
0,48028569953737628460524063580673987141.y4m,64
0,151679462551700766803044506051440512365.y4m,39
0,37374264030380859426384550060248411423.y4m,24
0,211748399537087526910336351022439753539.y4m,42
0,92284195552565772263340456522515660041.y4m,27
0,125490425725583983348182992488916325638.y4m,36
0,182157168317867125189351167444564526797.y4m,36
0,256224331243095858912592308393374604799.y4m,36
0,93328256706542773168291356633340504807.y4m,58
0,233694505049409636575615295920132747560.y4m,48
0,283005392929254373615021696232526879145.y4m,26
0,211997388781223734257401675148318211510.y4m,44
0,47313942769072554412047524475468174011.y4m,38
0,240792041345625778499795216370900368583.y4m,54
0,184319621099233508945272130926829570888.y4m,41
0,34525571221424433563914267200219502136.y4m,43
0,47712961831354663683093288463533217915.y4m,42
0,168827236464177048193393535681647049224.y4m,41
0,220550749928157748072722023008525912383.y4m,42
0,116598126089666378079331731067261069417.y4m,38
0,81821650464797119233884171635691454890.y4m,15
0,150975641094223229983175925407667154399.y4m,10
0,281094568428745226250575904028991070755.y4m,35
0,56239646028452288913774412932656969839.y4m,93
0,211223654972866454415931415269240676907.y4m,51
0,41789816500295085945755887374890270606.y4m,51
0,257719836583319954961282471749337237918.y4m,49
0,157263565546748932450383911210921739511.y4m,37
0,58076610052517561630307538981440874601.y4m,72
0,113322231157512440684639196919729238573.y4m,50
0,317500158707222497091444425558438586539.y4m,39
0,15324870053611183598914739456546117526.y4m,38
0,337667658880335957916367300810436789849.y4m,57
0,65565480736557673436310174972163512325.y4m,43
0,193213294464486884687111374640052161991.y4m,14
0,28273251877129853798734113748509426129.y4m,37
0,329357639442062393615932168212647518001.y4m,47
0,60566402529378514910976425631595438513.y4m,40
0,138691827497814229814377548512856056934.y4m,44
0,299608957606498972228503006920324598298.y4m,44
0,184224595208201765892012938725550851615.y4m,49
0,288771886382383530352869774987104755294.y4m,45
0,180258876450600071489037058269732414212.y4m,39
0,244367845322658182868244074376419905577.y4m,47
0,220546252143487811100015042744542329515.y4m,47
0,219868172228757137392660119532843249475.y4m,54
0,114064853416794612890460312490235053215.y4m,49
0,235874669988633133275731896552590774129.y4m,41
0,14299588383469745170635568006499641576.y4m,38
0,125967911904688557255111195249825574353.y4m,27
0,211600389569040273709811112445749526741.y4m,27
0,128316308472564432805182547030482099890.y4m,42
0,329845217083174815794255607628563435035.y4m,32
0,208852576279080958674547809465491320795.y4m,31
0,195913895863575670331331817283558260690.y4m,38
0,334995483810535216847662955978339735665.y4m,26
0,137216627784701331568611955323066510024.y4m,43
0,136992981622422181421132609511619238046.y4m,55
0,2216259868503876770420175780430146442.y4m,41
0,64405083707180912825670956760747243419.y4m,43
0,46377042948321384180881294973766225099.y4m,41
0,161637059544618047628905344138524073781.y4m,50
0,43168649094941460182098410453465772453.y4m,46
0,210910047146759413576953554531403056593.y4m,20
0,148780398093569890309185963523923765906.y4m,32
0,244214116995982826600871960629043916600.y4m,38
0,39759848095392529150455918876585462068.y4m,40
0,209129979875576685315713041037133837753.y4m,39
0,276505504924506612406633628089036401162.y4m,39
0,53644371848765098724854261231433522602.y4m,25
0,316740762095389944678109342512019426954.y4m,26
0,134893010114097202757121043044807475416.y4m,41
0,184436094980911102725228526334255999469.y4m,60
0,220737870032901150484392241841520569932.y4m,33
0,336280816183787488384224108982778628874.y4m,31
0,28651004939841350920796654612633127537.y4m,31
0,312945364894260530501230224730631997884.y4m,49
0,88315416891098343390034520037631575293.y4m,50
0,131391231083997715827021928687065400756.y4m,61
0,166314572925685549839693551865322005775.y4m,43
0,264308092138755182072039819998151609791.y4m,41
0,319386791475488267549161217458559166261.y4m,55
0,24077592465009226304868652412277443232.y4m,40
0,138170236657205700260074755694361419287.y4m,60
0,202621991564024156929890580686566821059.y4m,38
0,281074250574708777933368175675791041620.y4m,17
0,254496809071863829104372392711977623503.y4m,65
0,122929821148975351774037956914120178840.y4m,49
0,72164772510459005647647743944967931829.y4m,51
0,325572937761775283041949225561560650206.y4m,43
0,84429919623310113815384542778144500055.y4m,41
0,111404610716173654931954474331540265144.y4m,46
0,121649847168503303399072587470894640132.y4m,38
0,83277782794535419138388818100543619721.y4m,39
0,247172007874212731710045241128136391856.y4m,61
0,214404244707195030625324902541207085594.y4m,34
0,218390395050703807610449557399700576369.y4m,39
0,122258309174620402603193220961292925181.y4m,43
0,226837749413597047420881072959313883501.y4m,60
0,301141931621972643742095367663127565233.y4m,24
0,246320518103021449329396541598379894224.y4m,32
0,65653653729269531469407532802087132975.y4m,84
0,65895504775898857410357066353030959010.y4m,50
0,231500214070058543694510048677007043524.y4m,46
0,192368723192203004695936935825363039056.y4m,43
0,247782123912345390124696275053651320593.y4m,40
0,33746680407033697278939205569857135216.y4m,41
0,122410070261929394509625114153233392833.y4m,36
0,280860897073756743985315496535564113653.y4m,42
0,105942227825741890827028801182831893632.y4m,47
0,30590764916250264597129325601611663311.y4m,28
0,212364189504293014885876801026636739813.y4m,44
0,87711263632846160488309817835132897308.y4m,42
0,325273396641050073384448065268679172622.y4m,37
0,330698912276783590094463162885808080477.y4m,37
0,73597536790541127537096780808876430199.y4m,43
0,275753993419725153383838464425506120748.y4m,36
0,94034036498422274354815851509622382539.y4m,43
0,2614452269844054199558602051728143855.y4m,33
0,162863598070787543864311813184619205005.y4m,13
0,199264699369526265539743190065057784619.y4m,33
0,281185080989948148886943419127222396710.y4m,40
0,96412898465411765558531014687350516276.y4m,36
0,288857684598560264085519527860329257950.y4m,36
