,index,hash_name,score,first_session
0,0,118020241481527181306766630823000514229.y4m,1,True
1,1,131391231083997715827021928687065400756.y4m,72,True
2,2,214404244707195030625324902541207085594.y4m,13,True
3,3,312379466294792854993506717778777610507.y4m,1,True
4,4,98463578067699146494304933440100035453.y4m,66,True
5,5,20224377538311656524364753148444120368.y4m,74,True
6,6,24077592465009226304868652412277443232.y4m,1,True
7,7,41789816500295085945755887374890270606.y4m,52,True
8,8,325572937761775283041949225561560650206.y4m,24,True
9,9,292338047405413932653900202604621258998.y4m,63,True
10,10,138170236657205700260074755694361419287.y4m,79,True
11,11,255282022672005947121716882838712453026.y4m,75,True
12,12,28359911429680422888664204136856006243.y4m,21,True
13,13,58076610052517561630307538981440874601.y4m,73,True
14,14,299608957606498972228503006920324598298.y4m,24,True
15,15,276407339827074707896189415897795030655.y4m,13,True
16,16,105942227825741890827028801182831893632.y4m,13,True
17,17,254496809071863829104372392711977623503.y4m,59,True
18,18,109127575612627929366188410917693732959.y4m,1,True
19,19,226837749413597047420881072959313883501.y4m,62,True
20,20,94642410580876051826243608271461975297.y4m,1,True
21,21,235874669988633133275731896552590774129.y4m,27,True
22,22,148800394999214671528329371133995160257.y4m,89,True
23,23,317402513067647966989306182856900708951.y4m,1,True
24,24,240792041345625778499795216370900368583.y4m,65,True
25,25,122258309174620402603193220961292925181.y4m,32,True
26,26,171337782888492268057044536624888338517.y4m,8,True
27,27,312945364894260530501230224730631997884.y4m,25,True
28,28,140418891307973177988809877275652937509.y4m,50,True
29,29,65895504775898857410357066353030959010.y4m,20,True
30,30,337667658880335957916367300810436789849.y4m,22,True
31,31,334995483810535216847662955978339735665.y4m,1,True
32,32,66259711056203548371532425519432699158.y4m,30,True
33,33,4968677123091714835008116794343536377.y4m,22,True
34,34,230615781553700114202247999748245097683.y4m,21,True
35,35,87711263632846160488309817835132897308.y4m,39,True
36,36,271801356920490594927768501601244811159.y4m,5,True
37,37,49499124708754027432685319070855881831.y4m,50,True
38,38,275753993419725153383838464425506120748.y4m,23,True
39,39,247172007874212731710045241128136391856.y4m,46,True
40,40,225222042209065316649653912024435216463.y4m,26,True
41,41,325273396641050073384448065268679172622.y4m,1,True
42,42,60566402529378514910976425631595438513.y4m,1,True
43,43,121649847168503303399072587470894640132.y4m,9,True
44,44,314445694172655561857797574770537949161.y4m,11,True
45,45,24390427576663726418414876929071686171.y4m,3,True
46,46,193715919282290054117381361703089484676.y4m,60,True
47,47,307066867612951233106360876602419712855.y4m,64,True
48,48,253525516386645139743975349285036270272.y4m,24,True
49,49,183980321948346812736284926706715101317.y4m,1,True
50,50,137216627784701331568611955323066510024.y4m,1,True
51,51,317500158707222497091444425558438586539.y4m,11,True
52,52,107972489709825899386726519673988859547.y4m,37,True
53,53,202621991564024156929890580686566821059.y4m,1,True
54,54,183818464567138483221404171067239884576.y4m,74,True
55,55,145534927248202929853560107448893222087.y4m,4,True
56,56,119352662079414833188989206508630620255.y4m,45,True
57,57,183601522320287053546561588992409606204.y4m,35,True
58,58,163510072312799543427463656914320254963.y4m,29,True
59,59,104107716277742175767611938605344405170.y4m,27,True
60,60,161637059544618047628905344138524073781.y4m,48,True
61,61,102766090170356144725167020391829597108.y4m,27,True
62,62,234097650750808491432721995919661816763.y4m,1,True
63,63,84429919623310113815384542778144500055.y4m,15,True
64,64,195913895863575670331331817283558260690.y4m,1,True
65,65,211600389569040273709811112445749526741.y4m,1,True
66,66,53644371848765098724854261231433522602.y4m,1,True
67,67,72763497578819914658274267257790687897.y4m,21,True
68,68,211748399537087526910336351022439753539.y4m,20,True
69,69,110633055949691751914426971701317604177.y4m,80,True
70,70,138691827497814229814377548512856056934.y4m,51,True
71,71,215356198985850718945295209453628108056.y4m,1,True
72,72,210910047146759413576953554531403056593.y4m,1,True
73,73,87033691991306674757508956115364558571.y4m,8,True
74,74,43168649094941460182098410453465772453.y4m,1,True
75,75,313590970083858616707491093722153201878.y4m,43,True
76,76,184436094980911102725228526334255999469.y4m,66,True
77,77,113322231157512440684639196919729238573.y4m,28,True
78,78,218390395050703807610449557399700576369.y4m,1,True
79,79,48028569953737628460524063580673987141.y4m,75,True
80,80,21772631763511610515359448641220322053.y4m,16,True
81,81,166314572925685549839693551865322005775.y4m,1,True
82,82,184319621099233508945272130926829570888.y4m,1,True
83,83,65653653729269531469407532802087132975.y4m,97,True
84,84,336280816183787488384224108982778628874.y4m,1,True
85,85,301141931621972643742095367663127565233.y4m,1,True
86,86,65565480736557673436310174972163512325.y4m,1,True
87,87,184224595208201765892012938725550851615.y4m,51,True
88,88,136992981622422181421132609511619238046.y4m,50,True
89,89,203705833798557677211092233890945342702.y4m,52,True
90,90,208852576279080958674547809465491320795.y4m,1,True
91,91,47712961831354663683093288463533217915.y4m,1,True
92,92,46464838362804489324529191354682074016.y4m,1,True
93,93,244214116995982826600871960629043916600.y4m,10,True
94,94,281074250574708777933368175675791041620.y4m,1,True
95,95,319386791475488267549161217458559166261.y4m,25,True
96,96,246320518103021449329396541598379894224.y4m,1,True
97,97,220737870032901150484392241841520569932.y4m,1,True
98,98,37374264030380859426384550060248411423.y4m,1,True
99,99,128316308472564432805182547030482099890.y4m,1,True
100,100,330243685429659789904924039141435617840.y4m,1,True
101,101,192218470441192607965650306309013103924.y4m,30,True
102,102,220546252143487811100015042744542329515.y4m,38,True
103,103,257719836583319954961282471749337237918.y4m,48,True
104,104,211223654972866454415931415269240676907.y4m,47,True
105,105,37747368638107780560344969287437680584.y4m,1,True
106,106,177676884190736148190593115449487875396.y4m,1,True
107,107,90939027582151633697168479729462541228.y4m,5,True
108,108,97479053583248573091348721389788156450.y4m,18,True
109,109,106704756187281552964855025669931641131.y4m,48,True
110,110,116598126089666378079331731067261069417.y4m,15,True
111,111,288771886382383530352869774987104755294.y4m,1,True
112,112,126900490453680539735287745510152456018.y4m,67,True
113,113,275928337971093463956942244159726419047.y4m,51,True
114,114,64405083707180912825670956760747243419.y4m,4,True
115,115,336875307830761332793195498873571831587.y4m,6,True
116,116,193213294464486884687111374640052161991.y4m,1,True
117,117,209129979875576685315713041037133837753.y4m,48,True
118,118,150975641094223229983175925407667154399.y4m,1,True
119,119,88315416891098343390034520037631575293.y4m,49,True
120,120,316740762095389944678109342512019426954.y4m,1,True
121,121,329845217083174815794255607628563435035.y4m,1,True
122,122,151679462551700766803044506051440512365.y4m,1,True
123,123,157263565546748932450383911210921739511.y4m,12,True
124,124,15324870053611183598914739456546117526.y4m,1,True
